subject,version,condition,story,imagine,response,rating,stamp,id,rationalization
1,imagine_v1,1,You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. You invite the person over to your table and offer them your seat.,1,"My friends and I are at the company dining hall, and I'm enjoying a chicken salad wrap with chips.  I see a new worker that's part of our team - she's sitting by herself, and as I'm laughing at my coworker's vacation story, I consider that she's probably feeling lonely.  I'm feeling pretty generous, so I wave to her - she comes over and I say - I'm just finishing up -- why don't you sit here and get to know the team a little more? She smiles and says - if you're sure? and I say ""yeah yeah I'm done!""",3,11/4/15 13:46,349,NA
1,imagine_v1,1,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the best parts of your co-worker's performance.,1,"My boss calls my phone, even though I sit right outside his office.  ""could you come in here?"" - ""yeah"".  We're pretty close, so he doesn't have to say much.  I go into his office and sit down.  ""hey, what's up"", I say.  ""I'm thinking about the new manager position - I know you're interested too, but can you tell me about Jonathan's work?  I need to consider every option.""  - "" sure"" I say. I tell him about the great job jonathan's been doing - he really makes my life easier!  I may not get the promotion, but it will probably be less work for me.",6,11/4/15 13:49,396,NA
1,imagine_v1,1,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You stop studying and explain the concept to them.",1,"Sean and I are sitting in the library studying for our final in music theory.  It's quiet around us except for the sounds of typing, pages rustling, and the occasional quiet conversation.  He looks up and says ""ugh - can you help me with this 5ths and 7ths thing? I'm just not getting it"" - ""maybe if you didn't text so much during class!"" I say with a laugh.  ""hah hah. very funny"".  ""but yeah.. it's simple.. think about it this way"" - I say, pulling his book over to me as I start to explain",7,11/4/15 13:52,439,NA
1,imagine_v1,1,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You stop and help them pull their suitcase.",1,"I'm rushing toward the check in counter, heart in my throat - I can't be late! I see a young mother with a stroller struggling to bring her suitcase to the baggage counter.  Her baby starts fussing, and my heart softens towards her - totally been there! ""let me help!"" I say - she says ""oh thank you so much"" and I take the handle of her red duffel bag and walk towards the mercifully short check-in line.  It's not really slowing me down to help her, thankfully - I think I'll make it",6,11/4/15 13:55,467,NA
2,imagine_v1,0,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is near the back of the line, and you know they really want to see the movie, so you offer to give up your spot in line for them.",0,,2,11/4/15 13:46,360,NA
2,imagine_v1,0,You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. You invite the person over to your table and offer them your seat.,0,,5,11/4/15 13:47,367,NA
2,imagine_v1,0,"You're a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and give it to your sibling.",1,"After doing well on my exam, my parents gave me five whole dollars.  ""Good job"" they said.  Take your sister out and buy some ice cream cones.  Being that I was the one who got the good grades and not her I thought to myself ""Why am I buying her an ice cream cone?"".  So we get to the store and while she's distracted and looking elsewhere, I ask in the softest possible voice ""Do you want an ice cream cone?"".  She never hears the question so, ""Hmm, no answer so I guess she doesn't want one"".  I buy myself the biggest scoop they have and she gets nothing.  Her loss!",3,11/4/15 13:52,429,1
2,imagine_v1,0,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but can't find a trash bin. You see someone else's soda can lying in the grass. You pick up the other soda can, and carry both back to your house.",1,"It was a fine sunny day.  The sky was blue, the air was crisp, the birds were singing.  The day's outing was fun.  A little shopping, some sightseeing, time to relax in the park.  All this time I had been enjoying this huge soda from 7-Eleven.  Very tasty, indeed.  Alas the enjoyment would soon end as I was down to the bottom of my thirst satisfying drink.  Looking around the area it seems that the park people had neglected to put a garbage can anywhere.  Certainly not a nice thing.  I then noticed someone else's discarded cup in the lush green grass.  Looking around there seemed to be no one else in the park.  I thought to myself ""Now nobody will notice if instead of one cup there's now two cups in the grass""  I carefully and casually stroll over to where the other cup is an gently place my empty cup then slowly walk away.",1,11/4/15 13:58,489,1
2,imagine_v1,0,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You stop and help them pull their suitcase.",1,"I'd arrived at the airport close to an hour late due to an accident.  Having barely made it through baggage and security with just a few minutes before my flight arrived, I noticed this older gentleman with a large unwieldy suitcase.  He apparently was having a tough time moving it.  ""Has he got rocks in it or something"" I thought to myself.  Then on the loudspeaker I hear the announcement for my flight.  Thinking to myself ""Well I would've helped but what do you know, gotta get going, oh well"", I leisurely stroll by without giving the man a second glance or thought.",4,11/4/15 14:05,536,1
2,imagine_v1,0,You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You give the volunteer a big portion of your food.,0,,6,11/4/15 14:05,539,NA
2,imagine_v1,0,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You run after the person to tell them they dropped it.",0,,5,11/4/15 14:06,545,NA
2,imagine_v1,0,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the best parts of your co-worker's performance.,1,"It's September again, the time when kids go back to school, the leaves start changing, and most importantly, people at the office are promoted.  Apparently me and my co-worker (we'll call him ""Robert"") are up for position of assistant operations manager.  We'd collaborated on a number of projects, most of which were successful and it's likely that both of us had an equal shot at the new position due to our merits.  Robert had already had his one on one evaluation with the boss and now it was my turn.  The boss asks ""Tell me, how well did you and Robert work together"".  Thinking this might be my one chance to get a leg up, I proceeded to tell him that Robert was lazy, thoughtless, provided little to the effort and just seemed to be aloof throughout the project.  ""He just doesn't seem right for the position"" I told the boss in no uncertain terms.",3,11/4/15 14:13,592,1
2,imagine_v1,0,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You get up and check on the baby, letting your spouse sleep.",1,"Our bundle of joy.  Such a wonderful daughter.  Looks just like her beautiful mother and has my charm.  Things almost couldn't be better.  Well, aside from the overnight wake-up calls.  After a hard day at work, I just didn't feel like getting up to check on the baby.  When my wife wakes up and says ""Honey, can you check on her"" while trying to rouse me up, I mumble ""Arrr rrr ar rrr"" (unintelligible speech) while pretending to not hear.  She tries a few times to no success then eventually gives up and goes to check on the baby herself.  ""Phew"" I think to myself as I actually do go slowly back to sleep.",4,11/4/15 14:19,625,1
2,imagine_v1,0,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You stay standing, and let the person take the seat.",0,,4,11/4/15 14:20,628,NA
2,imagine_v1,0,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You say yes, and help them for the rest of the night.",0,,5,11/4/15 14:20,630,NA
2,imagine_v1,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You admit that the car has a flaw, and tell the customer about a different car dealership with a better car.",0,,3,11/4/15 14:20,634,NA
2,imagine_v1,0,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You stop studying and explain the concept to them.",1,"It's the last weeks of school when finally dreams of summer vacation become a reality.  But the one hurdle that comes before it--final exams.  Has to be the one thing I dread.  One of my classmates is sitting at the table in the library apparently trying unsuccessfully to grasp the subject of an advanced algebra problem.  I already have my own issues with chemistry that I'm trying to tackle when he asks ""You know this stuff, right?  Can you explain it to me?"".  Seeing that I barely understand it myself, along with my not being a very good teacher (plus I have my own problems), I reply ""Um, I can't right now...big test of my own to study for""  He's clearly disappointed but I'm thinking to myself ""Phew, didn't want to go through that""",5,11/4/15 14:28,667,1
2,imagine_v1,0,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You decide to remake the soup with vegetable broth.",1,"It's Sunday night.  The time for relaxation, family, friends and home cooking.  People are over to watch football and I'd been making a very special soup from an old family recipe that contains chicken broth.  Just as it's about ready I realize that one of the people over is a vegetarian and am scrambling to figure out what to do.  Racked my brain trying to think of something then decided on something.  Serve dinner to my guests when the vegetarian notices the odor of chicken and says ""Um, you do know I'm a vegetarian, right?""  To which I reply ""Oh no, this is vegetarian.  What you're smelling is a special herb that only smells like chicken""  Apparently he believes my story and proceeds to eat the soup.",2,11/4/15 14:36,691,0
3,imagine_v1,0,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but can't find a trash bin. You see someone else's soda can lying in the grass. You pick up the other soda can, and carry both back to your house.",0,,1,11/4/15 13:24,38,NA
3,imagine_v1,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You admit that the car has a flaw, and tell the customer about a different car dealership with a better car.",0,,2,11/4/15 13:24,43,NA
3,imagine_v1,0,You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. You invite the person over to your table and offer them your seat.,0,,1,11/4/15 13:24,48,NA
3,imagine_v1,0,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You stay standing, and let the person take the seat.",1,"I imagine that in the mist of the old lady searching for a seat, I seen one available and immediately sat down to reserve the seat for her. When she comes by I will ask her to sit in the seat.",6,11/4/15 13:27,71,1
3,imagine_v1,0,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You get up and check on the baby, letting your spouse sleep.",1,Maybe I'm tired of getting up checking on the baby since I've been doing it since the baby was born 2 days ago. Tired from having the baby.,4,11/4/15 13:29,89,1
3,imagine_v1,0,"You're a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and give it to your sibling.",0,,2,11/4/15 13:29,94,NA
3,imagine_v1,0,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You decide to remake the soup with vegetable broth.",1,I would probably tell them that so the vegetarian would not feel left out if they wouldn't be eating while everyone else was eating.,1,11/4/15 13:31,123,1
3,imagine_v1,0,You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You give the volunteer a big portion of your food.,1,I probably couldn't afford to give them any food.,4,11/4/15 13:33,141,1
3,imagine_v1,0,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You run after the person to tell them they dropped it.",0,,6,11/4/15 13:33,144,NA
3,imagine_v1,0,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the best parts of your co-worker's performance.,0,,5,11/4/15 13:34,151,NA
3,imagine_v1,0,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is near the back of the line, and you know they really want to see the movie, so you offer to give up your spot in line for them.",0,,2,11/4/15 13:34,161,NA
3,imagine_v1,0,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You stop studying and explain the concept to them.",1,Maybe I'm trying to crunch for the exam.,5,11/4/15 13:36,195,1
3,imagine_v1,0,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You stop and help them pull their suitcase.",1,Someone else would help them.,4,11/4/15 13:37,213,1
3,imagine_v1,0,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You say yes, and help them for the rest of the night.",1,"Probably been working hard, needed to get out of the house.",4,11/4/15 13:41,288,1
4,imagine_v1,1,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You stop studying and explain the concept to them.",0,,7,11/4/15 13:24,47,NA
4,imagine_v1,1,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the best parts of your co-worker's performance.,1,"I'm sitting in my bosses comfortable office, across the desk.  I like him.  He asks me for my opinions on my co-worker.  They made some crucial decisions on the project, ensuring its success.  I make sure my boss knows about this, since it wasn't obvious, so he has all the information he needs to make a decision.  He thanks me and we shake hands.",6,11/4/15 13:27,70,NA
4,imagine_v1,1,"You're a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and give it to your sibling.",0,,6,11/4/15 13:28,72,NA
4,imagine_v1,1,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You decide to remake the soup with vegetable broth.",0,,7,11/4/15 13:28,74,NA
4,imagine_v1,1,You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You give the volunteer a big portion of your food.,0,,2,11/4/15 13:28,77,NA
4,imagine_v1,1,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You stop and help them pull their suitcase.",1,"I'm at the airport early, as is my usual.  On the way to checkin, I notice an elderly woman going the same way.  She's struggling to pull her suitcase, since she's also using a cane.  I look around for an employee to help, but not seeing one, I offer to help her get it to security, where presumably one of them will take over.  She accepts, and I get her there before going my own way.",6,11/4/15 13:31,116,NA
4,imagine_v1,1,You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. You invite the person over to your table and offer them your seat.,1,"I'm at a full table, but I'm done eating - I have to run by the library before lunch is over so I ate fast.  I see a classmate alone at a nearby table.  I know they're shy, but nice - in fact they're working on a group project with a couple friends sitting near me, so I know they'll have stuff to talk about.  I mention to my friends what I what to do, and when they approve, I pack up my things and stop by the other table on the way out, indicating the person should move because my friends were hoping to talk about the project.",3,11/4/15 13:34,167,NA
4,imagine_v1,1,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but can't find a trash bin. You see someone else's soda can lying in the grass. You pick up the other soda can, and carry both back to your house.",0,,6,11/4/15 13:34,171,NA
4,imagine_v1,1,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You say yes, and help them for the rest of the night.",0,,7,11/4/15 13:35,175,NA
4,imagine_v1,1,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You stay standing, and let the person take the seat.",1,"It's rush hour but I'm tired, because I was up all night finishing a project the night before.  I'm one of the last people to get on the train at my usual stop, and see a seat a few down from the door.  I'm going to sit there, but notice an older lady enter behind me.  She's a little unsteady and carrying a few bags.  No one closer to the door is standing up to give her the seat, so I keep walking, to hold the bar by the next set of doors, letting her take the seat.",7,11/4/15 13:37,216,NA
4,imagine_v1,1,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You admit that the car has a flaw, and tell the customer about a different car dealership with a better car.",1,"A young couple comes in for the second time, looking at an old van.  She's pregnant, so they're clearly on a budget but looking for a family car.  The one they're looking at is a pretty blue, and is cheap, but it was used by a band previously and I know the back seats are loose.  Not an issue for someone using it for transport, but not good for kids.  I'm familiar with local dealerships and know a better choice for them is down the street.  I want what's best for them, so send them over.",7,11/4/15 13:40,269,NA
4,imagine_v1,1,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You run after the person to tell them they dropped it.",1,"I'm walking out of the mall with some new makeup.  I'm ready to catch the shuttle back to the T-Stop when I see a $50 on the ground and a guy shoving his wallet back into his back pocket a little ways down, while a small child tugs on his hand.  I figure it probably fell out and hail him down to see.  He tells the child to SHH for a second, checks his wallet, an says it is, and thanks me.",6,11/4/15 13:43,314,NA
4,imagine_v1,1,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You get up and check on the baby, letting your spouse sleep.",1,"We decided to take turns, and I had done the last shift, but my spouse had a really long, stressful day.  He'd been behind on a project for a few weeks, and even though it wasn't his fault parts were delayed, his boss had called him in and blamed him.  So when the baby starts crying at 2am I tell him to go back to sleep and go in to feed/change/whatever the baby.",7,11/4/15 13:47,370,NA
4,imagine_v1,1,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is near the back of the line, and you know they really want to see the movie, so you offer to give up your spot in line for them.",0,,3,11/4/15 13:47,373,NA
5,imagine_v1,0,You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You give the volunteer a big portion of your food.,0,,5,11/4/15 13:26,62,NA
5,imagine_v1,0,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You get up and check on the baby, letting your spouse sleep.",0,,6,11/4/15 13:27,64,NA
5,imagine_v1,0,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You stay standing, and let the person take the seat.",0,,2,11/4/15 13:27,68,NA
5,imagine_v1,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You admit that the car has a flaw, and tell the customer about a different car dealership with a better car.",1,i imagined i would feel guilty about this deal. I would tell about all the flaws I knew about. ,1,11/4/15 13:30,111,1
5,imagine_v1,0,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the best parts of your co-worker's performance.,0,,5,11/4/15 13:31,118,NA
5,imagine_v1,0,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You say yes, and help them for the rest of the night.",1,"I apologize but I have a project due tomorrow and am really behind. I am going to a quiet place to finish my work. when I return I can help if you still need me.
 ",4,11/4/15 13:35,182,1
5,imagine_v1,0,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You stop studying and explain the concept to them.",1,I am extremely busy myself and have my own problems to work out. perhaps you should pay more attention in class and possibly record each one like I do.  ,2,11/4/15 13:38,226,1
5,imagine_v1,0,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You run after the person to tell them they dropped it.",1,walking down the street see a fifty-dollar bill on the ground. I assume it belongs to the guy in front of me but cant be absolutely sure of this. if i ask him he could just lie so I better keep it for myself. ,1,11/4/15 13:41,282,1
5,imagine_v1,0,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but can't find a trash bin. You see someone else's soda can lying in the grass. You pick up the other soda can, and carry both back to your house.",1,I have finished my soda but don't see a trash can to throw it in. there is a can laying in the grass ahead of me so I am not the only one with this problem. I will just leave my can next to this one and complain to the city about the lack of trash cans. ,1,11/4/15 13:45,329,1
5,imagine_v1,0,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is near the back of the line, and you know they really want to see the movie, so you offer to give up your spot in line for them.",0,,5,11/4/15 13:45,335,NA
5,imagine_v1,0,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You stop and help them pull their suitcase.",0,,2,11/4/15 13:45,341,NA
5,imagine_v1,0,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You decide to remake the soup with vegetable broth.",0,,2,11/4/15 13:46,352,NA
5,imagine_v1,0,You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. You invite the person over to your table and offer them your seat.,1,"there are no seats left at my table, but if you can find a chair, you're welcome to sit here. ",5,11/4/15 13:48,382,0
5,imagine_v1,0,"You're a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and give it to your sibling.",1,"I couldn't even imagine doing this to a sibling, sorry!",1,11/4/15 13:50,418,1
6,imagine_v1,1,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You stay standing, and let the person take the seat.",1,"I am getting on the bus downtown near the hospital. There is a really old lady that got on the bus behind me, and when I get on, there is only one seat near the middle of the bus. I make room for the lady to walk past me so that she can have the seat. She says excuse me as she walks by me, but she doesn't really notice that I left the seat for her. ",6,11/4/15 13:27,67,NA
6,imagine_v1,1,You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. You invite the person over to your table and offer them your seat.,1,"I am sitting with two friends and the end of the table in the cafeteria down the street. I see a person that we work with sitting alone. She notices us just as I am about to leave. I have to go to work, so I tell her to come and sit at our table, since I am leaving anyway. ",5,11/4/15 13:30,110,NA
6,imagine_v1,1,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You say yes, and help them for the rest of the night.",1,"My roommate is triyng to remodel her room. She has bought a new desk, but has no idea how to put it together. We sometimes go to the bar on Fridays, and that's what I want to do. She says that she doesn't want to wait, and she will stay up all night putting it together herself if she has to. I would feel pretty guilty about that, so I'll stay and help her. ",7,11/4/15 13:35,177,NA
6,imagine_v1,1,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You decide to remake the soup with vegetable broth.",1,"My Mom and sister are coming for dinner. I spend a long time making chicken soup. I didn't realize that my sister had stopped eating meat again, so I know she isn't going to eat this. I'll put this to the side, and me and Mom will eat it. I will make some more with veggie broth for my sister, but she wont need much, so it shouldn't take as long. ",5,11/4/15 13:41,280,NA
6,imagine_v1,1,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You stop and help them pull their suitcase.",0,,3,11/4/15 13:41,283,NA
6,imagine_v1,1,"You're a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and give it to your sibling.",0,,2,11/4/15 13:41,287,NA
6,imagine_v1,1,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You admit that the car has a flaw, and tell the customer about a different car dealership with a better car.",0,,3,11/4/15 13:42,290,NA
6,imagine_v1,1,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You run after the person to tell them they dropped it.",0,,2,11/4/15 13:42,298,NA
6,imagine_v1,1,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but can't find a trash bin. You see someone else's soda can lying in the grass. You pick up the other soda can, and carry both back to your house.",1,"I am walking at a park near my house, and I have a can of diet coke. It's a really nice park, and I go there to walk a few times a week. It's mostly a walking park, but there are no trash cans. As I finish my drink, I see a coke can laying in the grass. If I'm gonna carry one, I might as well carry two. I really don't want to walk in a littered park, and my house is only a few minutes away. I pick it up, and throw it in my trash can outside my front door. ",5,11/4/15 13:46,356,NA
6,imagine_v1,1,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You get up and check on the baby, letting your spouse sleep.",1,"Me and my husband have decided to adopt a baby. We've also decided that since he makes more money, I will stay home and care for the baby for the first year. When the baby starts crying at night, I dont want her to wake my husband, since he has to work in the morning. I will go tend to her and let him sleep. ",4,11/4/15 13:49,394,NA
6,imagine_v1,1,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is near the back of the line, and you know they really want to see the movie, so you offer to give up your spot in line for them.",0,,3,11/4/15 13:49,401,NA
6,imagine_v1,1,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You stop studying and explain the concept to them.",0,,5,11/4/15 13:50,407,NA
6,imagine_v1,1,You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You give the volunteer a big portion of your food.,0,,2,11/4/15 13:50,410,NA
6,imagine_v1,1,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the best parts of your co-worker's performance.,1,"Me and my co-worker Leah work at a hotel. We have been renovating the rooms on the third floor, and it has taken us a few weeks of hard work. Our front desk manager recently quit, and I'm sure that one of us will get the position. The owner calls to ask me about our progress, and specifically he asks me what Leah has done. We've both worked hard, so I let him know that. I'm sure she will say the same about me. ",6,11/4/15 13:53,452,NA
7,imagine_v1,0,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the best parts of your co-worker's performance.,0,,3,11/4/15 13:22,31,NA
7,imagine_v1,0,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You stop studying and explain the concept to them.",0,,3,11/4/15 13:22,33,NA
7,imagine_v1,0,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but can't find a trash bin. You see someone else's soda can lying in the grass. You pick up the other soda can, and carry both back to your house.",1,"I thought of myself walking through my college campus during the summer on a really hot day. I am on my way to the gym, which is about a mile away. Having just finished my energy drink and carrying all of my workout gear to change into, the can is getting a little annoying in my hand. I also realize I need to call my girlfriend on the way about an urgent matter and I can't do so with this empty can. Just as these thoughts cross my mind, I see an empty can sitting under a park bench in the shadow cast by the seat, barely visible. Without thinking I put my can next to it and hurry onward, using my peripherals to ensure nobody saw anything.",2,11/4/15 13:26,58,1
