subject,condition,story_id,story,test_story_id,imagine,response,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,stamp
436,2,0,"<b>Story</b>: You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. <u>You tell the customer that the car has no flaws.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",0,1," This is a great car car.if I needed a car I would buy it, why I would even sell this car to my sister. You cannot go wrong with this vehicle.i would go on and on but never ans his ? directly",1.07,1.96,1,1.04,6.03,6,3770,4/10/16 17:35
416,0,4,"<b>Story</b>: You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. <u>You tell your boss all the worst parts of your co-worker's performance.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",4,1,"I imagined recounting to my boss that my coworker was lazy and had to be forced to perform the relevant parts of the project. I told my boss that even the small amount of work that my coworker did had to be heavily edited and revised to be acceptable, and I felt like my coworker did not put the required effort into the project. I also tell my boss that in my opinion, my coworker was not fully competent with the material that was req",4.99,3.01,1,2.97,5,2.97,8871,4/10/16 17:35
239,2,7,"<b>Story</b>: Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. <u>You tell them you have to go finish a project for work, and go out to the bar.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",6,0,"I imagine that I would go not feel bad about lying, because i would not have wanted to be late to the bar and if I run into her, i would tell her I got done with my work early.",5.95,3.6,2,5.01,3.34,3.1,16681,4/10/16 17:35
438,0,3,"<b>Story</b>: You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. <u>The person is at the front of the line, and you use them as an excuse to cut the line.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",3,1,"I imagined that cut in line and got the stares of all the people who'd waited in line to go to the movie.

I know that they looked at me with anger and some of the people looked at me very unfavorably.

I knew that this is a gray area for most people if they do this.  I've seen people do it and I've always felt that it was wrong.  Yet, here I am doing it.",3.18,2.86,1,2.96,6.01,5.96,6771,4/10/16 17:35
261,2,4,"<b>Story</b>: You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. <u>You tell your boss all the worst parts of your co-worker's performance.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",1,0,"I imagine telling my boss that the project was almost turned in late due not receiving the needed info from my coworker, even though I asked for it many times. It was a very frustrating experience. ",3,4,1,5.96,5.02,5.96,40497,4/10/16 17:35
258,2,5,"<b>Story</b>: You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. <u>You pick it up and put it in your wallet.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",7,0,"My wallet was recently stolen and no luck of anyone returning my cards or cash. I was walking down the street to take a loan out and I found 50 dollars. I could assume that it fell from the person in front of me but there was no guarantee. Since I didn't actually see them drop the money, I put it in my pocket. No one else to claim it. ",3,5.05,1,6,7,7,39126,4/10/16 17:35
21,2,0,"<b>Story</b>: You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. <u>You tell the customer that the car has no flaws.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",0,1,The person interested in the car was being a major pain.  after two hours with him I get to the car in question and show him the car.  He falls for it and wants to purchase the car so I tell him there are no flaws with the car.  This is the same man who cheated with the boss',1,3,1,4.71,5.4,6.53,8740,4/10/16 17:36
115,2,6,"<b>Story</b>: You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. <u>You avert your eyes and walk past them.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",6,1,"I imagine that I was justified because I was in a hurry to catch my flight.  If I had stopped to help them I may have missed this very important flight.  There was no way for me to know whether I was going to make it or not.  I was already at the absolute deadline for getting to the gate.  Any deviation could have caused me to be too late.  Also, there were literally hundreds of others who could help.",6,3,1,6.96,5.98,5.98,5105,4/10/16 17:36
169,0,1,"<b>Story</b>: You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. <u>The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.</u> Afterward, you think the behavior was unjustified, and feel bad a",1,1,My friends and I are meeting for lunch at the busy cafeteria when one of our co-workers comes and asks to sit with us. The noise is loud and echos of the walls. I tell the co-worker there is no room at the table because I do not want to expose the innocence of this p,4.99,3.33,1,6.01,2.25,6.46,19187,4/10/16 17:36
465,2,3,"<b>Story</b>: You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. <u>The person is at the front of the line, and you use them as an excuse to cut the line.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",3,1,"I'm at the theater I usually go to, which sometimes has a line. There are very few seats available for the movie I want to go to. My best friend is at the front of the ticket line, and she had agreed to get me tickets anyway, so I move to the front of the line to stand with her. We each pay for our tickets and go to the movie together.",1.55,3,1,4.61,5.62,6,7747,4/10/16 17:36
237,0,8,"<b>Story</b>: You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. <u>You tell them that the soup is made with vegetable broth.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",1,0,"I spent a long time cooking and don't want to cook anything else. I think that this isn't going to kill them, and that it won't be such a big deal if they eat a bit of chicken broth.",6.42,3.85,1,3.81,5.3,5.49,19566,4/10/16 17:36
298,0,0,"<b>Story</b>: You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. <u>You tell the customer that the car has no flaws.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",3,0,"I imagine that the car has an oil leak. A full quart of oil must be added every 3 days or so to keep it from running completely out. I failed to mention this to the customer because I wanted to sell the car, and they would not notice the problem right away.",1,1.37,1,1,6.36,6.41,12790,4/10/16 17:37
9,2,8,"<b>Story</b>: You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. <u>You tell them that the soup is made with vegetable broth.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",8,1,"Today's a big day. I've finally had enough time to prep a big chicken broth for a couple of my workmates. I spent hours getting everything prepared, and I used the finest of ingredients. Dave, who doesn't tell me he is a vegetarian, comes out right after I bring everything out to say he is a veterinarian. I tell him that it is made with vegetable broth because I don't have time or patience for making something else.",3.01,2.17,3,1.82,3.91,5.49,5521,4/10/16 17:37
304,2,0,"<b>Story</b>: You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. <u>You tell the customer that the car has no flaws.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",6,0,"The customer is a sympathetic ISIS terrorist.  He has held my family hostage back at the apartment.  The car he's buying will shut off, lock him inside, and catch on fire.  I happily sell him the car and take my commission as well.  When he is roasted crisp, I will call the FBI.  I feel smug and self-satisfied that I've rescued my family, created a terrorist BBQ, and supported the US of A.  I'm more than happy to burn up ISIS terrorists or anyone that holds my family hostage.  Plus I made $2000.  Today was a good day.",6.02,5.98,1,7,5.89,5.93,16996,4/10/16 17:37
245,2,0,"<b>Story</b>: You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. <u>You tell the customer that the car has no flaws.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",1,0,"My mom has been sick lately, and I've been trying to earn some extra money in order to help her out. I knew the car had an engine problem, but I really needed the money. Plus that customer was so obnoxious. They were acting so rude to me. I consider it a bit of karma.",4.86,3.42,1,3,4.02,4.6,20994,4/10/16 17:37
93,2,7,"<b>Story</b>: Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. <u>You tell them you have to go finish a project for work, and go out to the bar.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",2,0,"I enjoy my time at the bar, I don't worry about my roommate. It didn't say the roommate was a friend, or a family member, so I really don't care. He or she has to set their stuff up, unless they want to pay me to help in which case I might re consider.",1.89,5.36,1,5.95,6.49,6.26,5569,4/10/16 17:37
457,0,3,"<b>Story</b>: You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. <u>The person is at the front of the line, and you use them as an excuse to cut the line.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",3,1,Waiting on opening night to see the first screening of a movie.  Tickets are scarce and I might not get a ticket so I budge in front of my friend.  I was able to get into the  movie but unfortunately someone else who was going to now couldn't.,1.11,1.89,3,1.92,6.16,5.94,10705,4/10/16 17:37
492,2,8,"<b>Story</b>: You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. <u>You tell them that the soup is made with vegetable broth.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",8,1,"I imagine this houseguest would be someone I'm not very fond of.  He is usually rude whenever he comes over and annoys everyone to no end.  And also, if he never figures out it was chicken stock, it won't hurt him whatsoever.",4.87,4.83,1,5.77,4.91,6.1,3587,4/10/16 17:37
377,0,2,"<b>Story</b>: You're about to sit down on a crowded train, when you see an elderly person searching for a seat. <u>You sit down in the seat.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",9,0,"I imagine that its been a long day and I'm getting off work and all I want to do is sit down for the long train ride home. Its a mad dash for sits so I rush to grab one as the doors open. I end up fighting my way to a seat. However, after I sit down, I realize there is an elderly person still searching for a seat. No one else gets up to move for them, and neither do I. I think about how I should probably be a good Samaritan and move, so I decide to at the next stop. Maybe ",4.92,2.59,1,3.24,5.81,6.83,8575,4/10/16 17:37
163,0,5,"<b>Story</b>: You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. <u>You pick it up and put it in your wallet.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",4,0,I have a really bad month for money when both my car and my AC break down. I have no spending at all. I am walking down the street after visiting my friend to commiserate over how broke we are and I see a 50 dollar bill on the ground. I pick it up and know I can buy some groceries now but I do realize that it probably came from the guy up the street from me. I keep it anyway and feel bad about it. ,2.01,2.99,1,3.02,6.05,5.97,12982,4/10/16 17:38
119,0,0,"<b>Story</b>: You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. <u>You tell the customer that the car has no flaws.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",7,0,"I imagine standing in nice dress clothes while talkin to the customer. The customer is asking questions about the car. When she asks if there are flaws, I instinctively say no because I need to sell this car. I have bills to pay this month. As soon as it comes out of my mouth, I feel like I've been punched in the gut. I immediately feel guilty and know that I am wrong but I have to be able to support myself and my child. ",1.55,2.16,1,1.99,6.7,6.47,13258,4/10/16 17:38
4,0,2,"<b>Story</b>: You're about to sit down on a crowded train, when you see an elderly person searching for a seat. <u>You sit down in the seat.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",0,0,"I imagine that I am running very late for work and I caught the last train of the morning. I'm in a very bad mood because of the morning that I had and now I'm going to be late. I will probably get in trouble. As I'm feeling sorry for myself, I see an elderly woman looking for a place to sit. I realize that the world doesn't revolve around me and other people have needs as well. I feel bad about not giving the el",2,3,1,2.01,7,7,25672,4/10/16 17:38
480,0,2,"<b>Story</b>: You're about to sit down on a crowded train, when you see an elderly person searching for a seat. <u>You sit down in the seat.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",3,0,"I have been on my feet all day and am extremely tired. I get on the train and feel like it is my lucky day, there is an empty seat. As I'm starting to sit down I see an old man looking around for a seat. I pretend to not notice him and sit down quickly. I don't look up in case I accidentally make eye contact with him. I put in my earbuds and pretend to sleep. ",2.01,1.9,1,2.83,5.01,4.83,10797,4/10/16 17:38
134,0,0,"<b>Story</b>: You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. <u>You tell the customer that the car has no flaws.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",0,1,"I imagined that I was a car salesman, and not making enough money because we only recieve comission when a car is sold, no salary. A person interested in the car asked me if there was anythhing wrong with it, i told them that there wasn't so I would sell the car and make some money. Afterwards I felt bad for lying to them, they might have bought the car anyways if I was honest about it. ",2.89,3.05,1,1.92,6.04,6.05,5438,4/10/16 17:38
483,0,5,"<b>Story</b>: You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. <u>You pick it up and put it in your wallet.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",5,1,"I am on my way to work and angry because I was not able to get breakfast. I see a fifty on the street. I notice there is a person walking ahead of me and they look to be rather wealthy. I pocket the money and decide to buy myself breakfast and coffee. Later, I think this was wrong and I did it because I was angry.",1.96,3.06,1,1,5.04,4.98,3326,4/10/16 17:38
350,2,4,"<b>Story</b>: You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. <u>You tell your boss all the worst parts of your co-worker's performance.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",4,1,"My coworker and I are up for a promotion which I have been doing grueling work for over months, staying up late each night. My coworker leaves early each night to rush home instead of staying there late like I was. I tell my boss the worst parts of my  coworker's performance, because I thought it was justified.",6,5.83,1,6.1,4.95,5.62,4948,4/10/16 17:38
436,2,5,"<b>Story</b>: You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. <u>You pick it up and put it in your wallet.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",5,1,"I know I saw the bill drop,but I tell myself it was just the wind and besides if he has so much money he cannot fit it into his wallet ,then he is not going to miss or need it.I do need it he lost it and didn't know -it's not like I'm stealing it from him or picking his pocket",1.97,2.04,1,1.03,6.81,6.87,3428,4/10/16 17:38
222,0,6,"<b>Story</b>: You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. <u>You avert your eyes and walk past them.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",4,0,"I'm in the terminal and I probably have plenty of time to catch my flight, but I'm still in a rush. I see an elderly lady with a cane in one hand and a heavy suitcase in the other. She's going in the same direction as me. I pass her, get to my gate, and see that she is supposed to be on the same flight as me.",1,2.51,1,2.04,4.8,5.16,11129,4/10/16 17:38
416,0,7,"<b>Story</b>: Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. <u>You tell them you have to go finish a project for work, and go out to the bar.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",7,1,"My roommate has been rearranging her furniture all day and I don't want to help.  I also don't want to hang out with her. When she asks for help, I lie to her and tell her that I have to go to the library to work on a project, because I do not want her to know I'm going out. If she knows I'm going out, she will suggest that I help her first and that we go out together afterwards. I have to lie so that she will not try to come along. The last thing I want to do is help with mov",5.94,3,1,6,6,4.95,6043,4/10/16 17:39
289,0,6,"<b>Story</b>: You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. <u>You avert your eyes and walk past them.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",6,1,"I was in a hurry and didn't want to help her.  She was struggling with a huge suitcase and I just went on by.  How could I have been so rude?  I was in a hurry, but that's no excuse.  I feel horrid.  I couldn't even look at her!
",3.08,1.15,1,2.04,6.27,6.35,8889,4/10/16 17:39
47,0,7,"<b>Story</b>: Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. <u>You tell them you have to go finish a project for work, and go out to the bar.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",4,0,"I tell them that I have to finish a project for work, but I go out to the bar instead. When I get home, I find that the roommate has finished setting up the furniture without me, but is now upset that I lied to them. They question my character and if they'll be able to trust me in the future because I lied about something so small. I later find out they went to a really nice restaurant I'd be wanting to try, and I feel even more guilty. ",1,1.12,1,1.98,5.4,5.54,15955,4/10/16 17:39
389,0,5,"<b>Story</b>: You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. <u>You pick it up and put it in your wallet.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",5,1,I am walking down the sidewalk on a hot day.  I am going to the baseball game and I am late and walking fast.  There is a a fifty dollar bill on the ground that the person in front of me dropped.  I pick it up and keep it for myself.  I will use the money to buy food at the baseball game.  ,3.05,4.1,1,1.98,5.62,6.25,7324,4/10/16 17:39
331,0,6,"<b>Story</b>: You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. <u>You avert your eyes and walk past them.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",5,0,"I hate being late, I'm rushing to get to my flight.  I see a women struggling with a large heavy suitcase.  I really don't want to stop so I look away and keep going.",3,2.79,1,2,5.99,5.41,23558,4/10/16 17:39
325,2,8,"<b>Story</b>: You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. <u>You tell them that the soup is made with vegetable broth.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",2,0,I was really enjoying making a meal for my friends. I love to cook and I want everyone to like what I have made. I usually cater to people's particular diets but this time I just made an honest mistake. I know that my friend is not allergic to meat and the broth was light. I just figured it was easier than trying to make her something else at the last minute. I am not even sure what her requirements ar,1.1,1.06,1,2.03,5.51,5.6,15360,4/10/16 17:39
258,2,3,"<b>Story</b>: You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. <u>The person is at the front of the line, and you use them as an excuse to cut the line.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",4,0,"I was all the way at the back of the line hoping that I could get into this movie that I have been waiting for. I see my best friend in front of the line and so I moved forward to talk to her. While she is purchasing her ticket, it won't hurt for her to get mine at the same time. It takes less than a minute for her to add my ticket to the bill. ",6.03,6.15,1,5.82,7,7,16950,4/10/16 17:39
358,2,0,"<b>Story</b>: You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. <u>You tell the customer that the car has no flaws.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",2,0,"I've had a really slow month this month and I really need this sale. When the customer asks me about flaws in the car, I really debate telling them about the major flaw. It's a serious flaw, but I know they won't buy it if they know about it. I end up telling them that it has no flaws so they go ahead and buy the car. I know it's not right, but I really needed the sale. ",1.01,2.02,1,2.02,4.98,5,13752,4/10/16 17:39
115,2,5,"<b>Story</b>: You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. <u>You pick it up and put it in your wallet.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",5,1,"I have a hard time imagining this because I would not do this in real life.  However, since I am asked to imagine this, I will.  I imagine that I would justify my actions by telling myself that I cannot be certain that the money belongs to the person 20 yards in front of me so therefore it could belong to anyone and how could I ever know whom it belongs to.  Also I may blame them for being careless and therefore they do not deserve to keep the money.",1.09,1.04,1,1.11,5.02,4.99,4706,4/10/16 17:39
557,2,7,"<b>Story</b>: Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. <u>You tell them you have to go finish a project for work, and go out to the bar.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",5,0,I imagine I am getting ready to go out with friends and my room mate is in his room unpacking and setting up his furniture. I have already done my unpacking and I am ready to get away from it all. I tell my roommate that I have to go get some work done. I don't feel bad ,2.96,2.95,1,3.98,5.97,6.01,30758,4/10/16 17:39
164,0,3,"<b>Story</b>: You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. <u>The person is at the front of the line, and you use them as an excuse to cut the line.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",3,1,"I imagined being in line for the movie, and someone cutting in line. I wasn't very happy about it. ",4.76,4.59,2,5.72,5.64,5.01,6036,4/10/16 17:39
169,0,5,"<b>Story</b>: You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. <u>You pick it up and put it in your wallet.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",5,1,I see a busy sidewalk with a lot of people not paying attention to anything. I pick up the money and wonder who it belong to since I did not see it drop. I hastily shove it in my wallet and keep walking. I do feel bad that I did not ask but have no ,4.81,3.45,1,5,5.26,5.3,7272,4/10/16 17:39
109,0,9,"<b>Story</b>: You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. <u>You pretend to be asleep until your spouse gets up to check on the baby.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",2,0,"I am exhausted.  I have been getting up every night the past few weeks.  I just want to lie here and sleep.  I hear the baby crying, but I am pretending to sleep, finally my husband realizes that I'm not getting up and he gets up to take care of the baby.  I feel badly but not too much.",2,6.01,1,6,4.96,4.98,18832,4/10/16 17:39
237,0,9,"<b>Story</b>: You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. <u>You pretend to be asleep until your spouse gets up to check on the baby.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",5,0,"I am tired and don't want to deal with the baby. I don't think my spouse will mind getting up to check on the baby, so I let him handle it.",5.16,3.27,1,3.74,5.31,5.25,6892,4/10/16 17:40
438,0,8,"<b>Story</b>: You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. <u>You tell them that the soup is made with vegetable broth.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",8,1,"I imagined that my firend came over and asked me how I made the meal.  I lie and tell them that I used a vegtable based broth when in reality I didn't.

It's morally wrong to not only lie, but to do it at the expense of another persons way of living life.

I feel terrible about this.",3.03,2.75,1,2.04,5.37,5.38,2893,4/10/16 17:40
9,2,7,"<b>Story</b>: Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. <u>You tell them you have to go finish a project for work, and go out to the bar.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",7,1,"Dave, my roommate, wants me to set up furniture today. I told him that this week has been the worst: down 15% in sales and two of our best workers has transferred to our rival. I just want to unwind for the day and go to Luckys, a sports-themed bar with Michelle and Ricardo. He'll probably believe me if I said that I had another project to finish since we are missing two people. I'll tell him that I'll finish a work project, but I'll just go to Luckys.",2.92,4,2,4,4.03,4,2410,4/10/16 17:40
21,2,4,"<b>Story</b>: You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. <u>You tell your boss all the worst parts of your co-worker's performance.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",4,1,My co-worker can't even do their job and lets someone else take care of his  work.  He spends roughly 60 percent of his workday playing on the internet and has no regard for his fellow co-workers.  He comes to work and starts to ea,6.51,6.03,1,6.04,7,7,8178,4/10/16 17:40
