subject,version,condition,story_id,story,test_story_id,imagine,response,responseRT,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,justif1RT,stamp,id
8,baseline,0,9,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out.",NA,0,,NA,2,1,NA,NA,NA,NA,NA,NA,11/9/15 20:38,1334
8,baseline,0,12,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You tell them you doní¢ä‰åä‹¢t have time to explain the concept to them, and go back to studying.",NA,0,,NA,5,3,NA,NA,NA,NA,NA,NA,11/9/15 20:39,1339
8,baseline,0,2,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but caní¢ä‰åä‹¢t find a trash bin. You see someone elseí¢ä‰åä‹¢s soda can lying in the grass. You put your soda can on the grass next to the other can.",NA,0,,NA,3,3,NA,NA,NA,NA,NA,NA,11/9/15 20:39,1345
8,baseline,0,7,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",NA,1,While walking downtown I look down and to my surprise see a 50 dollar bill lying at my feet. The person in front of me must have dropped it. I politely pull my wallet out of my purse and slide it into place. Finders Keepers!,NA,7,3,NA,NA,NA,NA,NA,NA,11/9/15 20:42,1363
20,baseline,1,4,"Youí¢ä‰åä‹¢re about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",NA,1,"I see the elderly person searching for a seat and upon noticing no open seats, they sigh.   I get up and tell the person to have my seat, to which the reply ""thank you"".  ",NA,4,3,NA,NA,NA,NA,NA,NA,11/9/15 20:29,1278
24,baseline,2,9,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out.",NA,1,"I imagine my roommate and another person carrying a large sofa into the room. My roommate asks if I can help bring up a few chairs, but I tell him I have a project to work on, so I pick up my laptop and backpack to make my lie seem convincing and I walk out the door saying they can manage without my help anyway.",NA,5,5,NA,NA,NA,NA,NA,NA,11/9/15 21:24,1673
24,baseline,2,12,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You tell them you doní¢ä‰åä‹¢t have time to explain the concept to them, and go back to studying.",NA,0,,NA,2,2,NA,NA,NA,NA,NA,NA,11/9/15 21:25,1678
24,baseline,2,13,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",NA,0,,NA,5,5,NA,NA,NA,NA,NA,NA,11/9/15 21:26,1682
24,baseline,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",NA,0,,NA,2,2,NA,NA,NA,NA,NA,NA,11/9/15 21:26,1685
24,baseline,2,2,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but caní¢ä‰åä‹¢t find a trash bin. You see someone elseí¢ä‰åä‹¢s soda can lying in the grass. You put your soda can on the grass next to the other can.",NA,1,"I'm on my way home drinking a can of Coca Cola and I'm passing through the usual park on my route. I can't find a trash bin to throw out this can, and it's just really annoying to have  to carry the can for the next 9 blocks. I notice there's already a can on the grass, so I check to see if anyone is looking. No one is, and it's dark anyway, so I leave my can on the grass next to the other one and I continue walking.",NA,6,5,NA,NA,NA,NA,NA,NA,11/9/15 21:32,1713
24,baseline,2,1,"You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You tell the volunteer that you caní¢ä‰åä‹¢t donate any food, and continue walking.",NA,1,"After paying for my groceries at the cash register, I pick up my brown paper bag full of goods and I notice a woman asking several people that are walking out the door for food donations. I groan to myself, since I hate encounters like this. I feel so guilty saying no because I'm carrying a bag full of food. I hurry and speed up and when she asks if I have food donations, I reply, ""Not right now. Sorry,"" avoiding eye contact and I zip past her and then get into my car.",NA,6,2,NA,NA,NA,NA,NA,NA,11/9/15 21:42,1748
24,baseline,2,6,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-workerí¢ä‰åä‹¢s performance on a project you did together. You tell your boss all the worst parts of your co-workerí¢ä‰åä‹¢s performance.,NA,0,,NA,3,3,NA,NA,NA,NA,NA,NA,11/9/15 21:42,1749
24,baseline,2,8,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",NA,1,"I'm walking very fast to catch my flight, with several bags of my own when I notice a man struggling with his suitcase. I could stop to help him, since he looks rather old and not very capable of lifting it himself, but it's really important that I do not miss my flight. Certain that someone else will probably help him, I rush past him without making eye contact. ",NA,6,3,NA,NA,NA,NA,NA,NA,11/9/15 21:47,1773
24,baseline,2,4,"Youí¢ä‰åä‹¢re about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",NA,0,,NA,3,2,NA,NA,NA,NA,NA,NA,11/9/15 21:47,1778
24,baseline,2,11,"Youí¢ä‰åä‹¢re having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell the guest that the soup is made with vegetable broth.",NA,1,"I am serving the table when I am about to serve Mark and I remember that he is vegetarian. He asks me what's in the soup, and having spent hours of hard work cooking, it'd be a waste and rather embarrassing to have one of my guests without anything to eat. I tell him I made it with vegetable broth, hoping he cannot taste the difference.",NA,6,3,NA,NA,NA,NA,NA,NA,11/9/15 21:52,1799
24,baseline,2,7,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",NA,0,,NA,7,6,NA,NA,NA,NA,NA,NA,11/9/15 21:52,1802
24,baseline,2,10,"Youí¢ä‰åä‹¢re a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and eat it yourself.",NA,1,"I am at the ice cream truck about to buy the two of us ice cream with the money Mom and Dad gave me. Then I remember what my little brother did to me during lunch time when he ate all of my hot chips. He ate my hot chips, so I'll eat his ice cream. I ask the ice cream man for the biggest chocolate ice cream he can give me.",NA,5,5,NA,NA,NA,NA,NA,NA,11/9/15 21:56,1822
24,baseline,2,3,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",NA,0,,NA,5,3,NA,NA,NA,NA,NA,NA,11/9/15 21:57,1824
24,baseline,2,5,"Youí¢ä‰åä‹¢re in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",NA,1,"At the front of the line is my friend Mark. I could wait in the back of the line and possibly not get tickets, or I could walk to the front with him and pretend like he was saving a spot for me. I imagine he won't mind at all. So I walk to the front past everyone else in line and say, ""Hey, Mark! Thanks for saving my spot for me.""",NA,6,5,NA,NA,NA,NA,NA,NA,11/9/15 22:00,1835
25,baseline,2,6,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-workerí¢ä‰åä‹¢s performance on a project you did together. You tell your boss all the worst parts of your co-workerí¢ä‰åä‹¢s performance.,NA,1,"How often the person provided wrong data and incomplete information. Overall, the co-worker was not helpful and I ended up doing most of the project myself.",NA,2,2,NA,NA,NA,NA,NA,NA,11/9/15 20:29,1271
25,baseline,2,2,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but caní¢ä‰åä‹¢t find a trash bin. You see someone elseí¢ä‰åä‹¢s soda can lying in the grass. You put your soda can on the grass next to the other can.",NA,0,,NA,4,3,NA,NA,NA,NA,NA,NA,11/9/15 20:29,1274
25,baseline,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",NA,0,,NA,1,2,NA,NA,NA,NA,NA,NA,11/9/15 20:29,1277
25,baseline,2,4,"Youí¢ä‰åä‹¢re about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",NA,1,"I had a very long day at work and am feeling exhausted. So although I feel bad for not giving up the seat, I feel I do need it.",NA,2,1,NA,NA,NA,NA,NA,NA,11/9/15 20:32,1291
25,baseline,2,13,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",NA,1,I picture the long day at work I have the next day. A presentation in the morning along with important meetings throughout the day. I need to get my sleep so I can be prepared for the next day.,NA,6,3,NA,NA,NA,NA,NA,NA,11/9/15 20:35,1306
25,baseline,2,3,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",NA,0,,NA,3,2,NA,NA,NA,NA,NA,NA,11/9/15 20:35,1311
25,baseline,2,8,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",NA,1,"I think about the heavy bag I have on my shoulder along with the other bag I am also dragging along. Since I need to get to my flight, I don't have the time nor energy to help this other person.",NA,6,4,NA,NA,NA,NA,NA,NA,11/9/15 20:37,1322
25,baseline,2,7,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",NA,1,"I feel great finding the money but don't know for certain it belongs to the person ahead of me. I am worried if I ask if it is their and they say yes, whether true or not, I will lose the money. So, I don't feel bad keeping it.",NA,6,4,NA,NA,NA,NA,NA,NA,11/9/15 20:40,1351
25,baseline,2,10,"Youí¢ä‰åä‹¢re a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and eat it yourself.",NA,0,,NA,1,2,NA,NA,NA,NA,NA,NA,11/9/15 20:40,1354
25,baseline,2,11,"Youí¢ä‰åä‹¢re having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell the guest that the soup is made with vegetable broth.",NA,0,,NA,1,3,NA,NA,NA,NA,NA,NA,11/9/15 20:41,1361
25,baseline,2,12,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You tell them you doní¢ä‰åä‹¢t have time to explain the concept to them, and go back to studying.",NA,1,I thought about the test I am studying for and other homework I have to complete. I don't have any spare time to help this other person.,NA,5,4,NA,NA,NA,NA,NA,NA,11/9/15 20:43,1371
25,baseline,2,5,"Youí¢ä‰åä‹¢re in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",NA,0,,NA,7,6,NA,NA,NA,NA,NA,NA,11/9/15 20:43,1378
25,baseline,2,1,"You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You tell the volunteer that you caní¢ä‰åä‹¢t donate any food, and continue walking.",NA,1,I thought about how little money I have and the family I need to feed. I plan out my budgeting for the week and cannot spare anything extra without planning ahead for it.-,NA,2,2,NA,NA,NA,NA,NA,NA,11/9/15 20:45,1387
25,baseline,2,9,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out.",NA,0,,NA,1,3,NA,NA,NA,NA,NA,NA,11/9/15 20:46,1389
26,baseline,1,10,"Youí¢ä‰åä‹¢re a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and eat it yourself.",NA,0,,NA,2,3,NA,NA,NA,NA,NA,NA,11/9/15 20:15,1169
26,baseline,1,7,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",NA,1,"I am walking down a street that's mostly empty. There are a few people in front of me, but no one really behind me. It's a little dark out. I look down at the ground for a moment, when suddenly, I think I see something. Could it be... money!? I think it is! I pick it up, but I think back to a moment before, when I thought I saw the person in front of me going into his wallet. Maybe he dropped the bill? Well, it's too late now. I can't be sure he even dropped it. I guess it's mine now. It must be my lucky day!",NA,6,4,NA,NA,NA,NA,NA,NA,11/9/15 20:19,1195
26,baseline,1,8,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",NA,1,"I am at the airport, and I am really in a hurry - I left the house late, and I am scrambling to get to my flight. I don't have a moment to spare - I'm starting to feel really stressed out. I get off of the moving sidewalk, and I see an older woman who is having trouble with her luggage - I think of the wheels broke or something. I don't have time to help - I cannot afford to miss my flight. I feel bad for a second, but that's life - I need to look out for myself, and I can't help everyone all of the time.",NA,6,3,NA,NA,NA,NA,NA,NA,11/9/15 20:23,1239
26,baseline,1,11,"Youí¢ä‰åä‹¢re having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell the guest that the soup is made with vegetable broth.",NA,1,"I am making dinner for a few friends, including my friend L. and his girlfriend F. We are having a number of dishes that I worked hard to make, including some soup. F. happens to be very picky about what she eats. I try to be accommodating, but no one else has as many restrictions on their diet, and I do not want to have to make a lot of special dishes for one person, so I have to be reasonable. We eat some of the dishes, and F. eats things she considers ""safe"". I notice she is eating some soup, which I know has chicken stock in it. However, I do not want to upset her, so I do not say anything. Later, however, she asks me in front of everyone if the soup was vegetarian. It makes me feel bad to do so, but I tell her it does. She has no way of finding out.",NA,3,2,NA,NA,NA,NA,NA,NA,11/9/15 20:33,1298
26,baseline,1,12,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You tell them you doní¢ä‰åä‹¢t have time to explain the concept to them, and go back to studying.",NA,1,"Myself and my friends all take similar college classes. I also have a lot of ""friends of friends"", which I know, and like, to various degrees. One of these people, who I know through my friend S., is named A. S. is a good guy, but he initially was kind of a ""friend of a friend"" as well, so we don't have a ton in common, even though we like each other, but when it comes to A., I really feel we have very little in common, and I honestly find him pretty annoying. He is also honestly not very intelligent. I am in a class with A. that I find easy, because it is not a particularly hard class, although he struggles in it. He asked me for help the other day, and I told him I don't really understand the concept too well either, and that I don't really have time to teach it to him, because I don't even know it that well myself. That's not really true though - I actually don't really care if he succeeds or not.",NA,5,3,NA,NA,NA,NA,NA,NA,11/9/15 20:39,1341
26,baseline,1,9,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out.",NA,1,"I live with someone named J. this semester. We are not really that close, and don't have much in common. I try to be civil with him, but I don't go out of my way to help him - I figure after this year, we will probably never interact again. Recently, some of my friends invited me out to a bar. We brought J. along once, but it was really not too pleasant. While I was thinking about going out, I noticed that J. was struggling to move some furniture in the house. He asked me to help him a little later, but I told him I had to go work on a project, even though that was not true. I didn't feel too bad - he's not really my friend, and I felt no obligation to help him.",NA,4,3,NA,NA,NA,NA,NA,NA,11/9/15 20:50,1417
26,baseline,1,5,"Youí¢ä‰åä‹¢re in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",NA,0,,NA,2,3,NA,NA,NA,NA,NA,NA,11/9/15 20:50,1421
26,baseline,1,3,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",NA,1,"I was eating with a few of my friends, and just talking about my day, when I noticed this kid most of us know named A. He's kind of odd and unpleasant. We've made fun of him behind his back once or twice - it's not that big of a deal though, I bet a lot of people do that kind of thing to each other. Anyway, he wanted to know if he could sit with us, but I told him we were saving the seat for our other friend T. It's not our job to be friendly and outgoing to everyone - if someone isn't going to fit into our group, we are not obliged to have to be around them. There's worse things than being casually rejected by people.",NA,4,3,NA,NA,NA,NA,NA,NA,11/9/15 20:55,1468
26,baseline,1,2,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but caní¢ä‰åä‹¢t find a trash bin. You see someone elseí¢ä‰åä‹¢s soda can lying in the grass. You put your soda can on the grass next to the other can.",NA,1,"I am walking through the park and drinking a cold Pepsi on a hot day. I am almost done my soda and will be needing to throw it out soon. I take the last sip of it - now I want to get rid of the can. If I don't, it will probably get gross and sticky soon. I see another can lying in the grass. I don't see any trash cans around, so I look around quickly, than carefully drop my can in the grass as well and walk away quickly. People litter all of the time - worse things happen. It's just part of life.",NA,5,4,NA,NA,NA,NA,NA,NA,11/9/15 20:58,1495
26,baseline,1,6,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-workerí¢ä‰åä‹¢s performance on a project you did together. You tell your boss all the worst parts of your co-workerí¢ä‰åä‹¢s performance.,NA,0,,NA,3,3,NA,NA,NA,NA,NA,NA,11/9/15 20:58,1498
26,baseline,1,4,"Youí¢ä‰åä‹¢re about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",NA,0,,NA,4,3,NA,NA,NA,NA,NA,NA,11/9/15 20:59,1502
26,baseline,1,13,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",NA,0,,NA,3,2,NA,NA,NA,NA,NA,NA,11/9/15 20:59,1506
26,baseline,1,1,"You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You tell the volunteer that you caní¢ä‰åä‹¢t donate any food, and continue walking.",NA,0,,NA,4,2,NA,NA,NA,NA,NA,NA,11/9/15 21:00,1511
26,baseline,1,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",NA,0,,NA,3,3,NA,NA,NA,NA,NA,NA,11/9/15 21:00,1515
32,baseline,0,13,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",NA,0,,NA,1,3,NA,NA,NA,NA,NA,NA,11/9/15 20:33,1300
32,baseline,0,8,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",NA,1,"I am arriving at the gate, as I rush out of the taxi I see an old man trying to unload his wife's luggage, but I'm already late for my flight to Las Vegas. I feel horrible because he's weezing and drops the bag several time, but I can't be bothered, I'm still hungover from last night and I don't want to miss my flight.  ",NA,7,3,NA,NA,NA,NA,NA,NA,11/9/15 20:37,1320
32,baseline,0,12,"You are a student studying for an upcoming final exam. A peer is struggling to understand an important concept from the class, and asks you for help. You tell them you doní¢ä‰åä‹¢t have time to explain the concept to them, and go back to studying.",NA,0,,NA,7,7,NA,NA,NA,NA,NA,NA,11/9/15 20:37,1324
32,baseline,0,11,"Youí¢ä‰åä‹¢re having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell the guest that the soup is made with vegetable broth.",NA,1,"My brother has brought has brought his very sim and attractive girlfriend over for dinner. During the course of eating, we are discussing diets and she explains how she is a vegetarian because she thinks its wrong to hurt animals. I feel so bad and don't want her to be upset, so I tell her its vegetable broth to avoid conflict.",NA,1,4,NA,NA,NA,NA,NA,NA,11/9/15 20:42,1364
32,baseline,0,6,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-workerí¢ä‰åä‹¢s performance on a project you did together. You tell your boss all the worst parts of your co-workerí¢ä‰åä‹¢s performance.,NA,1,"I am called into my managers office to tell him about my coworker, right of the bat I'm furious because he just took credit for a project we were working on together. As a result I make sure I am very specific in all the things this guy has done to the company, he steals pens, sneaks out to talk on the phone. After I finish my rant my manager informs me that this co worker had used me as a character reference because of my honesty and integrity, he also had come in earlier that morning to explain that I was the reason the project had been completed in such a way. I instantly feel horrible.",NA,1,1,NA,NA,NA,NA,NA,NA,11/9/15 20:49,1411
32,baseline,0,1,"You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You tell the volunteer that you caní¢ä‰åä‹¢t donate any food, and continue walking.",NA,0,,NA,7,3,NA,NA,NA,NA,NA,NA,11/9/15 20:49,1415
32,baseline,0,7,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",NA,0,,NA,7,7,NA,NA,NA,NA,NA,NA,11/9/15 20:50,1419
32,baseline,0,2,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but caní¢ä‰åä‹¢t find a trash bin. You see someone elseí¢ä‰åä‹¢s soda can lying in the grass. You put your soda can on the grass next to the other can.",NA,1,"I am enjoying the light misty rain shower, having just finished my Red bull I see a cute girl. Not wanting to look like a homeless bum collecting cans I decide to put my can in the grass. As I approach this girl she asks if I had left that trash in the park. I said no, however shes quick to point out that we were looking at each other when I had noticed her and she saw me put it down. Feeling like an idiot I quickly pick it up and walk off.",NA,1,4,NA,NA,NA,NA,NA,NA,11/9/15 20:56,1478
32,baseline,0,3,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",NA,1,"I am sitting with my group of friends and this guy, who I noticed out of the corner of my eye sitting alone has now decoded to come our way. He is an awkward fellow but, nice enough. He asks to sit with him and I advise him, there's no more seats, maybe you should find a different group to sit with.  ",NA,3,3,NA,NA,NA,NA,NA,NA,11/9/15 21:00,1519
32,baseline,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",NA,1,"A young pregnant couple has walked onto my sales lot. They are looking at a reasonably priced minivan. They say they have a very small budget, but really need a van with the baby due soon. I lie to them and tell them that everything is fine with the van, its the only way they will get a vehicle and its better than not having one at all .Later that night while playing with my son I think about how it was wrong to sell them a busted car",NA,2,2,NA,NA,NA,NA,NA,NA,11/9/15 21:10,1576
32,baseline,0,10,"Youí¢ä‰åä‹¢re a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and eat it yourself.",NA,1,"My brother has just fallen off his bike and had to get stitches. My mom says if he's really good she'll get him an ice cream. She hands me the cash and I run downstairs to get it. On the way back it starts to melt so I eat it, as its making a mess everywhere. When I get back my brother cry's and my mom is angry. It makes me feel like a bad brother. ",NA,5,2,NA,NA,NA,NA,NA,NA,11/9/15 21:14,1606
32,baseline,0,5,"Youí¢ä‰åä‹¢re in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",NA,0,,NA,7,7,NA,NA,NA,NA,NA,NA,11/9/15 21:14,1607
32,baseline,0,4,"Youí¢ä‰åä‹¢re about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",NA,0,,NA,1,1,NA,NA,NA,NA,NA,NA,11/9/15 21:18,1626
32,baseline,0,9,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out.",NA,0,,NA,2,2,NA,NA,NA,NA,NA,NA,11/9/15 21:18,1627
39,baseline,2,4,"Youí¢ä‰åä‹¢re about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",NA,1,"I barely got on the train, I was running late and the train was packed with young teenagers and I found the lone seat left. An elderly person was looking for a seat, hopefully one of these kids will give up their seeats.",NA,3,3,NA,NA,NA,NA,NA,NA,11/9/15 20:52,1446
39,baseline,2,9,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out.",NA,0,,NA,5,4,NA,NA,NA,NA,NA,NA,11/9/15 20:53,1450
39,baseline,2,7,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",NA,0,,NA,5,3,NA,NA,NA,NA,NA,NA,11/9/15 20:53,1451
39,baseline,2,5,"Youí¢ä‰åä‹¢re in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",NA,0,,NA,6,4,NA,NA,NA,NA,NA,NA,11/9/15 20:53,1453
39,baseline,2,6,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-workerí¢ä‰åä‹¢s performance on a project you did together. You tell your boss all the worst parts of your co-workerí¢ä‰åä‹¢s performance.,NA,1,"I hated my coworker, he was the type of person that would do anything to get ahead. He treated everybody terribly so I made sure to vocalize this to my boss regarding his performance.",NA,5,3,NA,NA,NA,NA,NA,NA,11/9/15 21:00,1517
