subject,condition,story_id,story,imagine,response,responseRT,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,stamp
254,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,"I just finished leg day at the gym. While coming out of ""the hole"" while squatting, I rounded my back and injured my spinae erector. My spinae erector had a muscle spasm and it hurt for me to breathe, so I took the elderly persons seat to preserve my own injured body.",120002,2.97,1.98,1,6,6.66,6.19,17186,4/9/16 18:59
145,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,,2625,6.9,6.86,0,0,0,0,4421,4/9/16 18:59
121,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,"I'm on a train, going uptown. I notice an old man looking for a seat and sit down, thinking nothing of it. Later, it occurs to me that I was being selfish and thoughtless. I feel bad about it.",120001,5.02,3.02,1,2.03,6.78,6.81,16334,4/9/16 19:00
395,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,,35916,5,3.03,0,0,0,0,10106,4/9/16 19:00
15,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,,32683,5.94,4.98,0,0,0,0,13818,4/9/16 19:00
520,2,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,"I have made a soup for dinner which contains many vegetables. However, for the base stock, I used a chicken broth. Although there is no chicken meat in the soup, it is not vegetarian. I tell my guests it is vegetarian so that they can enjoy the soup without feeling guilty. Plus, I have no other options for them to choose from, so without the soup, they won't be fed. Everyone eats the soup and enjoys it. ",120006,1.07,1.09,1,1.04,6.83,6.92,10801,4/9/16 19:00
550,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"The bill is just laying there. I don't want anyone else to take it, so I kneel down on one knee to grab it. I look up and see a person walking in front of me. Was it his? Well, it's mine now. I get back up and keep walking, tucking it in my wallet. ",120001,3.15,2.83,1,3.22,5.24,5.11,4182,4/9/16 19:00
138,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"This was a movie that I had been looking forward to for many years, and this was the only opportunity I had to see this movie. So I did not feel bad for cutting in line to see the movie.",119999,5.03,4,1,6,5.94,6,13120,4/9/16 19:00
91,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,I'm running to the terminal because I'm late.  In the corner of my eye I see someone struggling with a suitcase but in my eyes I really don't care because they probably wouldn't help me.  Its my world and I don't care about others.,120657,6.92,4.99,3,6.72,6.63,6.56,9257,4/9/16 19:00
549,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"my friend asked me to go to the movie but I couldn't because family was coming from out of town.  Then they had to cancel, so I was free to go.  My friend had already left for the movie.  When I got there, the line was long and then I suddenlly saw my friend at the front of the line, so I went up to join him since he already wanted to see it with me.",120001,2.84,4,1,6,6.04,5.95,10326,4/9/16 19:00
535,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,,20815,5.24,4.01,0,0,0,0,18700,4/9/16 19:00
132,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1," had a super busy day at work and I just finished walking several miles to the train station.  My back and legs were sore and I couldn't wait to sit down since my stop is the last one on the line so I have the longest ride.  I notice that an elderly person is searching for a seat, but they seem to be able bodies and are probably not as tired as me, so what's mine is mine.  ",120000,1.98,3.01,1,4.86,6.57,6.74,9994,4/9/16 19:00
525,0,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,,16133,2.04,3.05,0,0,0,0,7668,4/9/16 19:00
550,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,,6291,4.45,3.31,0,0,0,0,5807,4/9/16 19:00
418,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,I imagine myself lying to my friend.He doesn't look happy but he accept it. I picture myself on a bender at the bar having a great time. Afterwards I see myself feeling smug and happy at having successfully lied my way into a fun situation whilst avoiding a less fun one,120010,1,3.02,1,3.08,3.04,3.06,10093,4/9/16 19:00
42,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,,86827,5.01,2.99,0,0,0,0,22189,4/9/16 19:00
183,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I image that the seller is willing to make any lies truth in order to get the people to buy the car. since it is a commission job, the seller wants to make a profit.",120002,2.73,1.01,2,3.14,6.08,6.15,8199,4/9/16 19:00
534,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,"I am sitting with at least 6 other coworkers in an already crowded table having lunch after a training class at work. All of us are from the same business unit and city, and the person sitting alone is not. The person asks to sit with us, but there isn't anymore physical space available at the table. Pulling up a chair isn't possible because we already take up the entire table space. I feel bad that we can't accommodate him, but I don't know what else to do. I suppose I could offer to sit with him another time, but not today. ",120001,4.43,1.68,1,1.88,6.26,6.24,11656,4/9/16 19:00
544,2,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,,52886,4.99,1.96,0,0,0,0,23852,4/9/16 19:00
368,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,,52299,4.99,4.93,0,0,0,0,17808,4/9/16 19:00
308,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,,34083,1,1.04,0,0,0,0,15074,4/9/16 19:01
135,0,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"My friend in the line calls me over to join him. I tell him that I can't cut in front of others. He just explains it away and says, ""the rules don't matter. Nothing will happen to you.""

So, feeling embarrassed to say no, I go up to him. I hear some people behind me mumbling about the unfairness of me cutting in. I feel a little sheepish.",120001,2.3,3.64,3,3.36,3.47,3.32,21524,4/9/16 19:01
550,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,,5333,3.09,2.8,0,0,0,0,4775,4/9/16 19:01
262,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"My boss asked my opinion of a co-worker and I told him bad things about the person. I told him about the many mistakes he has made on the job, that has cost the company money.",120001,2.16,2.63,1,2.99,5.58,5.49,11989,4/9/16 19:01
415,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,If I don't sell cars I won't be able to feed my family and pay rent. It's a given fact anyway that all cars have some flaws. What a stupid question I think to myself when the customer asks me about flaws. I always smile and tell them that we thoroughly inspect all the cars we sell. ,120004,1.04,3.74,1,1.99,6.77,6.8,22223,4/9/16 19:01
408,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,,36217,6.05,3.03,0,0,0,0,19729,4/9/16 19:01
174,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,I was walking down Brick Rd then suddenly spot a fifty dollar bill. I notice a person ahead of me. I shout to them. No one responds. I decide to pick up the fifty dollar bill and put it in my pocket. I start to feel guilt.,120005,1,3.04,1,1,1,7,11375,4/9/16 19:01
589,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,,31681,5.02,3.02,0,0,0,0,18574,4/9/16 19:01
183,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,,18464,5.9,5.03,0,0,0,0,2997,4/9/16 19:01
268,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,,49633,1.02,2,0,0,0,0,30998,4/9/16 19:01
314,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"In line at the movie theater. Long line and many people already have tickets. I see a buddy right up at the door and he waves, so I stroll up to the front of the line and join him. We had talked about seeing the movie together, but didn't necessarily plan on seeing it together, but as luck would have it we did that night.",120000,4.01,4.01,1,3.99,5.98,6.03,4743,4/9/16 19:01
132,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,,33830,5,3.65,0,0,0,0,6306,4/9/16 19:01
521,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,,50626,5.13,4.55,0,0,0,0,14855,4/9/16 19:01
321,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I am a car salesman and am under tremendous pressure from my boss to sell this car. If I fail to sell the car I will lose my job and will have no income to provide for my family. I know it is wrong, but I tell the customer that the car has no flaws in order to make the sale. It makes me feel better to see that the customer appears to be wealthy and would, therefore, have no problem paying for any repairs that might be necessary. ",120000,1,2.01,1,4.96,6.02,7,11116,4/9/16 19:01
525,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,,37879,7,5.99,0,0,0,0,19853,4/9/16 19:01
535,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,,44052,3.87,3.27,0,0,0,0,18674,4/9/16 19:02
541,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,"I'm hanging out with my friends I don't want to seem ""uncool"" in their eyes so I decided to be a jerk to this person for no reason. Afterwards I felt really bad because I remembered a time where I was the outcast in a situation and that felt terrible. I should have been a better person. ",120002,2.04,1.07,1,1.07,4.77,4.83,16709,4/9/16 19:02
88,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I'm walking down a busy street downtown. There are people everywhere because it's the lunch hour. I see a $50 bill on the sidewalk, but have no way of knowing who dropped it because there are so many people. If I ask the person in front of me, they will say yes it's theirs because who doesn't want $50. If I don't pick it up, someone else will and claim it for their own. I could really use the money and if you aren't careful enough to hold onto it, then you deserve to lose it. I don't feel bad about picking it up.",120000,5.98,5.03,1,4.94,7,7,23542,4/9/16 19:02
580,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,"I was eating at the local cafeteria at school, just me and my friends.  This strange guy that we always see around, comes over.  This guy has never been seen with a single friend; he must be weird.  Well, he asks if he can sit with us, which is awkward.  I tell him that there are no seats left, which there aren't.  He looks dissapointed and walks away.  I mean, he could have pulled a seat up, so it was pretty nasty of me.  ",119996,2.05,1.58,1,1.66,6,5.89,5047,4/9/16 19:02
187,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I'm at work, and my boss has been getting on to me all day about how I need to increase my sales. I'm worried about whether I'll be able to keep my job if I can't snag some new sales. A customer comes in and is interested in looking at this new Ford hybrid that we have. This car has a problem with its transmission, as I've heard from others, and it's fairly serious and costly to deal with. They ask me if there are any problems with the car, and I decide not to tell them about the problem, hoping to seal the sale. They smile and keep looking at the car, and we eventually go back to the office to sign the paperwork. I feel kind of bad about this, but",120001,3.01,2.03,1,2.95,5.95,6.01,13134,4/9/16 19:02
315,0,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"I see my brother at the front of the line at the Bear Pause theater in Hackensack, MN.  It is a small theater, so there are few tickets.  I casually walk up to him outside of the velvet ropes and act as if he was going to buy my ticket the entire time.  He does, and we go by the ticket taker.  I buy him some Twizzlers as a thank you, but look bad and feel bad about the people in line.  I should have just come another time.",120011,3.03,2,1,2.93,6.98,6.95,16014,4/9/16 19:02
452,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,I need to make a sale.  A customer asks if the car has any flaws and I tell them it doesn't.  I don't tell them about the serious flaw.  I feel terrible for this.  I should have told them about the flaw but also about all the positives of the car so I could hopefully make the sale and not feel bad afterwards.,120002,1.17,1.11,1,1.98,6.15,5.7,7246,4/9/16 19:02
174,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,,31256,1,1,0,0,0,0,10238,4/9/16 19:02
463,0,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,,50231,1,1,0,0,0,0,19107,4/9/16 19:02
132,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,,23874,4.71,3.56,0,0,0,0,4882,4/9/16 19:02
580,0,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,,2377,5.14,3.66,0,0,0,0,9465,4/9/16 19:02
55,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"The boss asks about the project Paul and I did together for our most difficult client. I tell the boss that Paul constantly dropped the ball, and I constantly had to pick up the slack from his end. I'm aware that it might be exaggerated a little, but some of it is true. ",120001,1.21,2.23,1,1.97,4.99,5.69,15371,4/9/16 19:02
407,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,I see a person approaching my table and it appears they want to sit with me. I'm a little hesitant since I don't know them very well and there are no chairs left. They approach and ask to sit and another person at the table tells them to pull up a chair. I soon realize the person knows my sister and we become fast friends. I'm really glad they sat down next to me!,120001,5.01,3,1,4.97,6.9,6.01,26046,4/9/16 19:02
313,2,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,,52981,5,3.54,0,0,0,0,25576,4/9/16 19:02
368,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,,69806,6.05,5.58,0,0,0,0,14573,4/9/16 19:02
5,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,,45902,2.01,1.98,0,0,0,0,13649,4/9/16 19:02
321,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,,30620,2.97,2.98,0,0,0,0,7860,4/9/16 19:02
64,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,,40819,6.96,2.98,0,0,0,0,22371,4/9/16 19:02
580,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,,2729,3.49,2.85,0,0,0,0,2752,4/9/16 19:02
13,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,,19855,4.99,3.02,0,0,0,0,15241,4/9/16 19:02
112,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"I have just had a really bad day at work, getting yelled at by my boss for a mistake that could cost the company a lot of money. I am in danger of loosing my job. I told my roommate that I needed to go out and blow off some steam. Even though he is perfectly capable of completing the task himself with just a little more effort on his part, he asks me to help. I know if I do help he will just sit around telling me what to do instead of actually working together. ",120002,5.29,3.66,1,4.54,5.26,6.19,10361,4/9/16 19:02
531,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,"I am sitting with people I really like talking about things going on our lives.  This person, whom we all regard as kind of a loser, comes up to us to ask if he could sit with us.  Not only do we not have space for him, but we wouldn't make room if he could.  He should either enjoy being by himself or make new friends of his own.",120002,3.02,1.92,2,2.96,7,6,13837,4/9/16 19:02
254,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I have to pay rent this month. I recently had to take on fewer hours to emotionally be there for my aging mother and father. Unfortunately I am struggling to pay rent, take care of my dog, afford groceries and pay my car payment. I take the $50 to ensure my financial stability.",120002,6.08,3.42,1,5.12,6.53,6.61,7410,4/9/16 19:02
362,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"Just got home from a long day at work and I come home to my roommate failing to correctly assemble furniture in her room. She asks me if I can help her, but knowing I am bad at assembling furniture and already have a  preheadache, I tell her I have to go finish a project for work when really I am going to meet my friends at the bar for some much needed relaxation. I don't feel bad about it when I leave. ",119990,5.55,2.97,1,5.14,5.55,6.98,11927,4/9/16 19:02
395,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,,28926,2.98,3.02,0,0,0,0,6383,4/9/16 19:02
132,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,,15851,6.72,5.51,0,0,0,0,4306,4/9/16 19:02
415,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,,63111,3,2.02,0,0,0,0,14399,4/9/16 19:02
514,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"I'm in line to get a ticket for the new Harry Potter movie. I see a friend who I was going to meet up with at the front of the line, knowing that the movie was about to sell out I used her as an excuse to cut the line. I didn't feel bad because if I didn't get a ticket then I'd have to bail out on her and the plans we had made for the night.",120001,5.96,2.94,1,4.97,6.01,7,22366,4/9/16 19:02
265,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,Its been a busy and long day and now I am getting ready to sit down on a busy train.I notice a elderly person searching for a seat but thinking nothing of it I sit down in the seat.Later I thought about how wrong I was not to offer the elderly person a seat.,120001,2.78,3,1,2.95,5.1,5.11,18578,4/9/16 19:03
1,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,,47192,1.44,2.03,0,0,0,0,16692,4/9/16 19:03
299,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,i spend all day and a lot of effort making this soup with chicken broth for a dinner party. just when i finish i remember one of the guests is vegetarian. i fee,120006,1,2.99,1,1.01,6.91,7,15630,4/9/16 19:03
