subject,condition,story_id,story,imagine,response,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,stamp
426,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"I imagine myself wanting to go out with some old friends that I haven't seen in a while, and have had this planned for quite some time now.  I would invite my roommate to come along if they'd like, but I wouldn't cancel my plans just to help them with furniture that can be set up later.",6,4.24,1,6.01,6,6.01,25352,3/28/16 14:49
96,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I am behind on bills and desperatly need the money. I have to make the sale no matter what. I feel really bad after lying to them in order for them to buy the car. 
I then try and see if I am able to give them an extended warranty. I know id doesn't excuse my actions, but it is at least something incase the car starts acting up. ",4.56,2.2,1,3.06,4.23,4.32,5938,3/28/16 14:49
209,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,I've just gotten on the train and I'm about to sit down when I see an elderly lady at the other end looking for a place to sit down. I sit anyway. The lady can't find a seat and has to stand. She seems frail and unsteady on her feet,2,1,1,1,4.95,5.97,18296,3/28/16 14:49
194,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"Rushing rhymes with 'touching', 'crushing', and 'clutching'. Flight rhymes with 'height', 'kite', and 'write'. Walk rhymes with 'talk', ",3.17,2.5,0,0,0,0,11785,3/28/16 14:49
403,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,"I am standing in the kitchen hurrying to get my soup ready before my guests arrive. I am dropping things and quickly get the soup prepared. I am very happy with the result and can't wait for my guests to try it. Someone says they are a vegetarian. Without thinking I say, Oh I used a vegetable broth. I felt horrible after saying that because it was a lie. I should tell her the truth but do not want her to be angry with me but I hope she still enjoyed the soup!",2.01,2.97,1,4.95,5.93,4.98,13605,3/28/16 14:50
76,1,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,"hoop, loop, droop, nests, flowers, ",6.06,4.77,0,0,0,0,8900,3/28/16 14:50
149,1,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,"Line - sign, mine, nine, wine, pine, fine
Sell - bell, tell, fell, well, yell, dell
Know - bow, tow, sew, blow, flow, row, mow
See - bee, me, fee, tree, tee",2.03,4,0,0,0,0,8595,3/28/16 14:50
67,1,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,"boss=(toss, moss)
big=(gig, wig, pig)
being=(seeing)",1.93,2.99,0,0,0,0,13841,3/28/16 14:50
472,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,I don't want to look at the person in the eyes.  If I did that I would have to help them with their suitcase.  I don't have the time to help them.  I also honestly don't want to help with with their luggage at all.  I wouldn't feel bad about not helping them because they put their own self in the situation.,7,4.49,1,6.05,6.06,6.93,12363,3/28/16 14:50
309,1,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,"car - bar, mar
flaw - claw, law, caw
paid - laid, glade
serious - mysterious",1,2,0,0,0,0,6947,3/28/16 14:51
435,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,"I am rushing past an elderly gentelman who is struggling with a heavy bag in the C Terminal at Laguardia. I am late for check-in at my gate, so I continue on instead of helping him. I would like to stop but I know that I have to get to my flight. I feel mixed emotions because I can see he nee",4.98,2.96,1,4.97,3.03,5.06,7195,3/28/16 14:51
114,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,"sitting: quitting, knitting
friends: mends, extends, pretends
seat: meet, meat, feat, elite, repeat, defeat
table: cable
sit: quit, mitt, witt, fit",5.01,1.97,0,0,0,0,9695,3/28/16 14:51
355,1,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"I sit in a chair in front of my boss's desk. She is sitting behind the desk. I tell her that in many instances, my co-worker put off work until the last minute and then had  to rush to get things done. I also tell her that my co-worker frequently argued with me that something she had been assigned to do wasn't her job, it was mine, and that she refused to do it. In those instances, I had to end up doing the assignment myself.",4.98,2.05,1,5.94,6.92,7,16761,3/28/16 14:51
143,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"'train' rhymes with slain, main, rain, brain, stain, disdain, ordain, and pain. 'seat' rhymes with meet, beat, fleet, tweet, street, sleet, and heat.",1.95,2.02,0,0,0,0,8526,3/28/16 14:51
233,1,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"beat, heat, fleet, meat, meet, ",5.18,4.61,0,0,0,0,9340,3/28/16 14:51
310,1,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,"It's 1997 and Titanic has just opened in theaters.  My friends and I meant to arrive early to be sure we got tickets, but we were running late as usual and arrived at the theater to find a very long line of people waiting to purchase tickets.  I notice my friend Zak at the front of the line.  I know he is there to buy Titanic tickets because we talked about it during study hall today.  I yell Zak's name and he waves when he sees me.  The woman standing behind Zak narrows her eyes, anticipating my next move.  I go up to Zak and ask if he would mind purchasing 3 more tickets for myself and my friends.  He does and the movie sells out.  We bought the last tickets.  The woman behind Zak is upset.",5,2.99,0,0,0,0,9522,3/28/16 14:51
284,1,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,the poop is made from things you eat.,6.94,2.44,0,0,0,0,10262,3/28/16 14:51
185,1,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I am walking home on pay day and my check wasn't enough to cover all of my bills. I am already behind and this puts me behind even further. I see something on the ground, I bend down to see what it is, if I hurry I can ",2.98,2,1,2.94,6.06,5.22,11870,3/28/16 14:52
332,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"I told my boss about how my co-worker didn't put much effort into the project. I had to do much of the work, and had to work overtime to compensate for the lack of help from my co-worker to make sure the project was completed on time. The co-worker also never showed up to our agreed upon meetings to discuss details and future steps with the project to make sure we were on the same page. That left me in a bind on how to proceed usually.",6.03,4.98,1,7,5.96,6,25851,3/28/16 14:52
140,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"(Sit) pit wit lit sit grit slit
(down) frown town clown 
(seat) eat meat teat treat beat ",1,2.02,0,0,0,0,8419,3/28/16 14:52
18,1,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,the co worker was off task majority of times. co worker seemed un-interested and was on cell phone a lot. co worker barely tried helping and watched me struggle,5.3,4.32,1,5.08,4.95,4.98,16203,3/28/16 14:52
173,1,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,"I imagine they're stressed out and razzled, just like everybody else who's traveling.",3.88,4,2,4,5.59,4,14011,3/28/16 14:52
272,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,I imagined myself regretting my action towards lying. I would then go into the kitchen and clean up any reminiscence of the chicken broth as to not me found out as a liar. I am happy they enjoyed my soup though!,3.06,3.06,1,3.3,5.75,6.95,15089,3/28/16 14:52
376,1,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,It has been a long day at work on my feet.  All I want to do is sit down and zone out and relax.  I feel bad that the elderly person does not have a seat but I am not young myself and think that someone younger than I should give up their seat.,2.99,3.01,1,5,6.94,6.95,10602,3/28/16 14:52
96,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,I was walking down the street and noticed the money. I really needed to pay my bills and decided not to ask the guy infront of me if he dropped it. I mean what if he lied too? ,4.95,3.12,1,3.96,4.38,4.16,3934,3/28/16 14:52
426,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,I imagine myself having just suffered a broken leg and not being able to stand for extended periods of time.  I need to sit down because I won't be able to stand for the entire trip.,4.98,3.99,1,5.97,5.01,5.97,27630,3/28/16 14:52
165,0,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"I come home from work and SM is struggling to put furniture together. He asks for my help but, because I don't want to do it, I look at my phone and say that I forgot that I have to help my boss with a project at work and I need to go back to work to finish up. Instead of going to work, I go out to Piper's Pub for a few beers and dinner with IC.",1,1,3,2,4,4,13429,3/28/16 14:53
229,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,"twine, sign, wine, fine, mine, pine, shout, lout, ",5,4,0,0,0,0,40493,3/28/16 14:53
364,1,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,"I just got off from working a a twelve hour shift waiting tables. My feet are killing me.  I should get up and let this lady sit down but I dont think I can stand another minute.  Oh, good, the young man next to me is letting her sit in his seat.  The lady is",1.19,2.94,1,1.17,6.69,6.8,18183,3/28/16 14:53
209,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"walk - talk, balk, caulk, hawk, 
eyes - thighs, lies, wise, highs, dies, defies, 
past - fast, last, mast, ",3.98,3,0,0,0,0,26588,3/28/16 14:53
230,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I'm selling cars at a local used lot when a customer comes by. Not only have sales been slow on the lot, the owner is looking to eliminate people who aren't making sales. The customer appears interested in a vehicle and asks the standard questions along with if it has any flaws that may affect performance. I know it has some drive train issues that not only affect the perfor",2,1,1,1,5.95,6,14796,3/28/16 14:53
300,1,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I imagine that I have been struggling with paying my rent and I really need to sell a car, and fast! This customer is elderly and though I feel bad, I know that I can lie to them and they will end up buying the car. I tell them the car is in perfect condition though I know that it is now, and they buy the car from me. I feel bad, but I'll be able to pay my rent. ",5.98,1.99,1,2.97,5.98,5.97,20029,3/28/16 14:53
225,1,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"I arrived late to a movie that I promised my girlfriend I would get tickets. While I'm standing in line thinking what excuse I would tell my girlfriend, I notice a colleague from work standing just in front of the ticket counter. Excited, I walk up to him and start a conversation to sneak in line. ""Hey, thanks for meeting me,"" I said loudly with a grin. He grinned too and said, ""no problem, can't wait to see the movie."" ",6.02,5,1,3.01,5.87,5.86,16533,3/28/16 14:53
213,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I am walking towards the grocery store down the block on a hot, summer day. I stop at an intersection and see a fifty-dollar bill on  the cement. After picking it up, believing today was my lucky day, I look ahead and spot a little old woman wobbling on her cane towards the same grocery store where I'm headed. Briefly I consider keeping the money, but I feel too guilty so I dash on ahead to ask the woman if this is her fifty dollar bill. If she agrees, I hand it back to her, hoping she is telling the truth. If not, I keep the money.",4,2.98,1,2,6.02,4,27676,3/28/16 14:53
507,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"down- clown, drown, town, renown, brown, gown

train - gain, sane, main, bane, pain, pane

seat - beat, treat, eat pleat, meat, feat

feel - real, reel, kneel, peal, seal, wheel

you - who, true, goo, lieu, stew, grew",2,2.06,0,0,0,0,10677,3/28/16 14:53
76,1,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"size, flies, surmise, flew, sue, levy, talk, balk, bevy, tour, shore, more, ",5.86,5.14,0,0,0,0,21028,3/28/16 14:53
397,0,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,I got no time to stand in line. I'll cut in line to save my time! Feelin' bad but it's okay. Front of the line is always mine!,1,3.03,0,0,0,0,11839,3/28/16 14:53
403,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,"As I grab my bags and start rushing through LAX Airport I see someone with a heavy bag who obviously needs help. If I don't hurry I may miss my flight and I am on my way to a wedding. I may have a few extra minutes but see a pretzel stand and I am really hungry. As I stand there deciding what to do, I think that if I pretend I don't see them and put my head down, it won't make me look bad. So I pick up my bags and quickly head over to the pretzel stand to get myself a snack before my flight.
",4.99,3.06,1,4.99,5.05,5.98,11434,3/28/16 14:53
67,1,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,"bill=(will,sill,gill,mill,grill,krill,nil,frill,pill)
think=(pink,drink,wink,link,kink,sink)
",1.98,1.98,0,0,0,0,8142,3/28/16 14:53
149,1,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",1,"It is the middle of the night.  My sound sleep is disturbed by our crying baby down the hall.  I have been extremely busy lately working long hours at two jobs.  I am so exhausted - I just recently fell into a deep sleep and that sleep was shattered by the crying.  I want nothing more than to fall back asleep.  My wife has been busy with the baby but I decide to pretend to be asleep.  She sighs, gets up and goes down the hall to check on the baby.  I feel bad but drift back to sleep.",3.03,2.02,1,3.02,6.01,6.03,8871,3/28/16 14:53
482,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,"down rhymes with frown, clown, brown. Bill rhymes with kill, mill, dill, frill, sill, pill, grill. Pick rhymes with kick, lick, sick, trick. Bad rhymes with mad, sad, dad, cad, fad, glad, had, pad, lad.",6.98,4.04,0,0,0,0,424150,3/28/16 14:53
194,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",1,I'm lying in bed under my pink fleece blanket. My head is placed perfectly on my pillow with just the right amount of firmness. I'm in a very comfortable spot and do not want to get up because my room is a little on the cold side and I'm perfectly warm under my covers. I lay still and pretend to be asleep so my wife can give in and pick up the baby. ,6.11,3.14,1,4.47,6.97,6.79,45646,3/28/16 14:53
309,1,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"down - clown, frown
seat - neat, meat, greet
sit - hit, pit
searching - perching
",4.97,3.12,0,0,0,0,5297,3/28/16 14:53
60,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,"table: fable, label, cable
sit: fit, lit, kit
bad: sad, fad, lad
seats: feats, beats
friends: hens, bends, lends",5.98,2.94,0,0,0,0,28609,3/28/16 14:54
472,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,"parts, carts, farts, starts, darts, arts, smarts
worst, burst, first, thirst, ",5.76,3.53,0,0,0,0,7742,3/28/16 14:54
158,1,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,"Set rhymes with met, bet, net, pet, yet, get. Go rhymes with no, toe, flow, dough, row, know, doe. Work rhymes with jerk, clerk, perk.",2.17,2.07,0,0,0,0,8984,3/28/16 14:54
152,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,"middle, riddle, little, baby, maybe, lady",3.19,4.43,0,0,0,0,80893,3/28/16 14:54
435,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"The young man in front of me on the street looks as though he dropped something out of his pocket, and I scan the ground ahead of me and find a $50 bill. I am pretty sure that he dropped it but I can't be sure. I decide to keep the money but I know that I should have tried to catch up to him and at least ask him if he dropped it.",3,2.99,1,1.99,3.02,5,11839,3/28/16 14:54
355,1,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,"too, moo, grew, knew, bell, sell, knell, dell, fell, jel, swim, hat, bat, cat, mat, coop, ",3,3.03,0,0,0,0,7966,3/28/16 14:54
114,0,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,"movie: groovy, smoothie
tickets: crickets, 
sell: well, fell, smell, swell, gel
line: fine, wine, dine, mine
cut: rut, but, mutt, strut, ",4.99,3.06,0,0,0,0,21236,3/28/16 14:54
466,1,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,"I'm on the train in the morning, on my way to work, looking for a seat. I know I have a long ride ahead of me since I commute into the city. I really don't feel like standing up for an hour. I decide to sit down, even though I see an elderly man looking for one. I might let him sit down halfway through the ride, if he doesn't find anything",5.64,2.85,1,3.48,4.69,5.39,11236,3/28/16 14:54
143,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I imagine myself picking the fifty dollar bill off the ground, and thinking that maybe I should tell the person in front of me that they might have dropped it. I do feel bad, however, if I did tell this person they could easily lie about it if it wasn't their money. I do feel bad for taking the fifty dollar bill, but I feel like someone else is going to if I don't. There is no way for me to tell if the person twenty feet ahead of me would be truthful about it.",7,5.03,1,5.05,7,7,9417,3/28/16 14:54
284,1,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,this is would be rather annoying as i would not want to do the work.  i would rather go out with my friends and have fun.  this would involve making the correct decision and since i would not want to get into trouble at work i would finish my work before going out if possible.  ,6.46,3.25,1,6.76,6.6,6.99,6580,3/28/16 14:55
409,1,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,I goto my boss and start telling him unsavory things about my coworker. I feel guilty but do it in hopes of increasing my chances of a promotion,4.98,5.06,2,4.72,4,4,71443,3/28/16 14:55
310,1,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,"I have made my favorite vegetable soup for a dinner party I am hosting tonight.  It's a very good soup and everyone who tries it loves it.  Two of my guests tonight are my brother and his girlfriend Alison.  When they arrive, Alison comments on how nice the smells coming from the kitchen are.  She asks what's on the menu, then adds as a joke, ""You know I'm a vegetarian right?""  Actually, I forgot.  When I serve the soup, my brother wants to know what is in it.  ""Oh, some broth and vegetables,"" I say.  Alison looks up from her soup.  ""What kind of broth?""  ""Vegetabl",1,2.97,1,2,5.05,5.98,10199,3/28/16 14:55
180,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,"shut, hut, nut, fine, sat, rat, ",3.31,3.12,0,0,0,0,18968,3/28/16 14:55
551,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"heat, feet, cheat, beat, beet, street, feat, sheet, pleat, meat, meet, teet",3.55,3.06,0,0,0,0,20252,3/28/16 14:55
18,1,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,I feel bad for lying and it was completely wrong of me to do that. i don think i'd confess to it at all. the broth wont do harm to the person anyways if they dont know. ,2.7,1.63,1,2.19,4.73,4.5,12540,3/28/16 14:55
