subject,condition,story_id,story,imagine,response,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,justifRT,stamp
405,0,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,Standing rhymes with demanding. Movie rhymes with groovy. Line rhymes with time.,5.02,2.4,1,2.03,0,0,18619,12627,5/23/16 18:48
113,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I am working at a Ford Dealership and trying to sell as many cars as possible. My salary is entirely based on commission. I've been having a rough couple of weeks in terms of sales. A new customer comes in interested in a Camry and wants to know if there are any flaws with it. I know that there have been issues with the Camry's airbags, but it is not a serious enough issue for a recall to be announced yet. I think long and hard and tell the customer there are no flaws with the car.",1.97,2.02,1,1.86,5.19,4.91,5986,11636,5/23/16 18:48
312,1,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,"meat
peat
greet
fleet
cheat
cleat
neat
treat
bleat

able
cable
mabel
",4.49,2.94,1,5.93,0,0,17316,12318,5/23/16 18:48
382,1,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,"fest, flowers, booking, poop, blue, fruit, froth, ",4.88,5.78,1,6,0,0,59256,4137,5/23/16 18:48
342,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,"Friends rhymes with 'lends', 'lens', 'mends', 'bends'. Table rhymes with 'able', 'maple', 'label'",6.01,3.99,1,3,0,0,24593,21998,5/23/16 18:48
587,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,"I know my guest isn't actually allergic to anything in the soup, so it's not dangerous for me to tell a little white lie. What he doesn't know won't hurt him. Surely he would understand, I worked for a long time on the soup. I bet if I tell him after he ate the soup, he would be mad, so I won't. I put a lot of effort into this meal, he will be okay with  a little chicken broth.",6.1,3.6,1,4.92,7,5.64,2462,2318,5/23/16 18:48
322,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"My workplace is very competitive and promotions rarely occur.  My boss recently announced that there is a promotion opportunity coming up, and that both myself and my coworker are being considered for it.  I really need this promotion to take care of some extra bills that I have received recently, so when he asks about by co-worker's performance on our recent collaborative project, I only point out everything that they did badly.  After this, I find out a few days later that I received the promotion.  I feel extremely bad about this, as my coworker performed very well.",1,1.95,1,1,7,7,2835,4138,5/23/16 18:49
52,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"flight rhymes with fight, might, sight, right and bad rhymes with sad, mad, had and eyes rhymes with wise, size, and dies.  Catch rhymes with hatch, batch, and latch. Walk rhymes with talk, hawk",2.96,3,1,5.07,0,0,8248,8230,5/23/16 18:49
359,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,I am rushing to catch my flight. I am already behind time and hope I dont miss it. I see a person up ahead screaming and looking very frustrated. He cant seem to move his heavy suitcase. He seems angry so I avert my eyes and walk past. I dont feel bad for not helping.,7,3.98,1,5.97,7,7,2446,3822,5/23/16 18:50
375,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,"heats
beat
bit
weak
leap",5.04,2.12,1,2.11,0,0,82653,5960,5/23/16 18:50
199,0,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"My roommate is trying to set up their new furniture but they aren't very good at it. It would be nice of me to help them with it, but I'd much rather go out and have some fun. Setting up furniture sounds like a drag. But it would make me kind of uncomfortable to say I'm going to a bar when they are struggling so much, I feel like I need to make a legitimate excuse. So I'll make up something about work. ",4.54,3.34,1,5.06,5.31,5.46,4532,3980,5/23/16 18:50
562,1,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",1,I imagined taking care of the baby all day. I'm absolutely exhausted and I just put the baby to sleep not too long ago. I'm really tired and don't have the energy to get up. I pretend to be asleep so that my spouse checks on the baby. I try to get some more sleep before the next day comes and I'll have to take care of the baby all day again.,5.98,4,1,4.99,4,6.02,5762,6007,5/23/16 18:50
82,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,I am walking through the airport and there are announcements over the intercom. I see someone struggling with their over packed suitcase. They look around to find someone to help them. I really do not want to help this stranger because I just want to get through security and relax before the flight. I get closer and they are about to turn my way as I quickly look in a different direction and pick up the pace. I hear them continuing to struggle as I walk on by to the security line.,2.21,2.15,1,2.07,6.27,5.88,7515,3632,5/23/16 18:50
526,1,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I hate that it has come to this. Here I am, peddling a flawed hunk of junk to a poor, unsuspecting customer. My God, I am ashamed--but what am I to do? If it weren't for saps like him, the kids would go hungry. In this economy I'm lucky to have this job, even with its moral questionability.",2.94,1.08,1,1.95,6.48,6.51,8245,18490,5/23/16 18:51
431,1,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,"I hop on a train, exhausted after a busy day after work. In the corner of my eye, I see a seat open, even though the train is crowded. It's my lucky day, I say to myself. As I'm about to sit down, however, I see an older lady also looking for a seat. However, another person seemed like he was about to leave nearby, so I took the seat I initially found instead. ",2.04,2.99,1,3.03,3.96,3.02,5716,6478,5/23/16 18:51
193,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,"All rhymes with: fall, tall, stall, mall, ball, call. For rhymes with: more, store, galore, floor, door, score. Are rhymes with: Jar, far, star, tar, car, bar, ",6,4,1,6.08,0,0,4222,3279,5/23/16 18:51
10,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"Goo, sue, do, bit, lit, kit, clown, bin, kin, tin, beat, meet, eat, sleet, peat, ",1.05,2.95,1,2.02,0,0,5932,8814,5/23/16 18:51
94,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"After my boss stopped me in the hall he started asking questions about the project. I said it was going fine, then he started asking me specifically about my coworker's performance. I started on a hang up we had together, then he inquired further. After a minute or 2 I spilled my guts on all of the bad points during the project which concerned my coworker.",3.04,1,1,1,7,7,12899,4849,5/23/16 18:51
113,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,"Street rhymes with heat, seat, beat, teat, cheat, feet, and neat. Pick rhymes with stick, lick, pick, hick, nick, dick, flick, trick, and wick. Front rhymes with runt, stunt, and punt. Bill rhymes with hill, spill, kill, chill, pill, and frill.",3,2.94,1,3.02,0,0,11685,4655,5/23/16 18:51
312,1,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,I'm toward the end of the line to see this popular movie. I notice my buddy Tom right at the head of the line. I'll just go up to him like he's my good friend and then jump in line. Then I'll be first for tickets instead of last.,2.33,3.03,1,2.39,5.04,4.76,4923,10296,5/23/16 18:51
587,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,"sit: fit bit lit hit kit pit bit nit mit sit wit quit slit
friends: ends lends
seats: beets leats wheats meats
left: theft deft heft 
tell: fell hell yell well quell sell cell ",7,1.92,1,7,0,0,3070,13980,5/23/16 18:52
382,1,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,"flow, mow, show, fruit, pass, flask, ",1.91,2.06,1,2.43,0,0,20987,8930,5/23/16 18:52
342,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I'm walking down Main street during my lunch break. I'm hungry, but don't have enough money to get the lunch I really want. Someone about 20 yards in front of me drops a fifty-dollar bill and I pick it up when I walk by. Now I have the money for lunch but I feel terrible because the person who I think dropped it might have needed it much more than me. I eat lunch, but feel guilty about it for the rest of the day.",3,1.96,1,2.03,7,7,5365,16843,5/23/16 18:52
405,0,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"My roommate is sweating and hunched over boxes from Ikea. I'm disinterested in getting sweaty and talking to him. I'm dressed nicely and want to be in a nice setting, getting drunk, talking with other people.",2.04,2.08,1,1.99,3.96,5.06,26375,16108,5/23/16 18:52
322,0,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,"Room rhymes with boom, loom, doom, gloom, groom, bloom, and broom.  Bar rhymes with car, tar, mar, and jar.  Bad rhymes with sad and mad.",1.99,2.12,1,2.05,0,0,4423,3773,5/23/16 18:52
375,2,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,"both
bell
mail
male
maid
loop
",2.76,2.26,1,3.63,2.89,5.31,11788,1993,5/23/16 18:53
359,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,"Bill rhymes with hill, nil, Chill. Walking rhymes with talking, hiking, nothing. Pick rhymes with hick, dick, tick, lick.",1,1,1,1,0,0,4681,16710,5/23/16 18:53
53,1,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,"I've just gotten onto the train at the airport that will return me to baggage claim.  I move to the rear of the car where there is open space.  I look out through the window and can see clearly into the car behind us.  It is crowded and an old man is looking around hoping to find a seat.  I sit down on the window seat in my car and watch him, helplessly.",2.01,2.99,1,3.01,5.01,5.09,20075,11211,5/23/16 18:53
199,0,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,"Night rhymes with ""right"", ""polite"", ""sight"". Asleep rhymes with ""cheap"", ""peep"". Spouse rhymes with ""house"".  Baby rhymes with ""maybe"".",4.93,3.24,1,4.91,0,0,4673,6058,5/23/16 18:53
82,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,"car, far, tar, bar. Paid, laid, maid, made, shade, fade, raid. Sold, told, bold, mold, fold, hold.",1,1.98,1,1,0,0,3605,7858,5/23/16 18:53
52,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"The person walking in front of me is a well-known wealthy member of the town who frequently drops money on purpose to help people out and be generous.  He does it in that manner because he is shy and doesn't want the recognition, but people see him doing it frequently. A friend of his confirmed that this is how he likes to be generous.  That is why I picked up the money and put it in my wallet without remorse.",7,6.02,1,6.07,6,6.72,70872,11591,5/23/16 18:54
526,1,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,"Sitting rhymes with knitting, fitting, and quitting. Friends rhymes with ends, bends, and rends. Table rhymes with fable, sable, and label. ",5.98,3.01,1,7,0,0,6109,4146,5/23/16 18:54
562,1,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"I'm standing in the long line and I'm getting impatient. I really want to watch the movie but the line seems to never move. There's no way I'd get a ticket at my spot. Luckily, I see my friend at the front. I don't think and immediately go up to him, happy to see a familiar face. I begin chatting with him and continue moving on as the ",3,4,1,2,3,4,8075,11089,5/23/16 18:54
193,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I as a car salesman know that people feel that a flaw is serious while others do not. I feel that the customer should do a little more research before buying a car, I'm there to help with the transaction but I can not think that what i believe to be serious someone else would also. There are many different places the person could go, like to friends and the web, i should not have to hold their han",6.02,4,1,6.02,5.44,5.45,2889,2418,5/23/16 18:54
113,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,"I spent the morning gathering ingredients to cook soup for a dinner I am hosting that night. I carefully measured the ingredients and put them in the pot. I periodically checked on the soup as it cooked. Just as it was about done cooking, I realized that one of my guests was a vegetarian and I had used chicken broth as the base of the soup. I decided to lie and say it was vegetable broth, thinking she would be unable to notice.",1.37,1.61,1,1,2.88,2.91,4588,10831,5/23/16 18:54
10,2,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,"I'm cooking for my little sister's friends, one of them turned vegetarian like a month ago. I'm thinking that friend is just a hipster trying to act cool, and I simply lie to her and tell her the soup is made with vegetable broth. I don't feel bad at the time. ",4.97,3.01,1,3,4.96,5.07,12845,2543,5/23/16 18:54
94,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I know I didn't see the bill fall, so it couldn't have been this guy in front of me. I think he just walked over it, not noticing it. I picked it up and kept it. I saw no reason to ask this person as I would have figured he'd lie anyways. If I really knew that it was his I would return it immediately. I don't feel too bad about it.",4.95,3.99,1,2.99,7,7,8829,5176,5/23/16 18:55
587,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I haven't sold a car in several days. The rent is due soon and I know there is a high probability of me being short this month. I'm considering leaving this job anyway and working in my uncle's shop, so I don't really care if about my reputation here, I just need to make as much money as possible. The customer will probably test-drive the car and no purchase it after he sees the flaws anyway.",1,1,1,1,5.97,6.3,3432,4929,5/23/16 18:55
312,1,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,"moss
loss
toss
floss

hearst

rig
jig
pig
dig
twig
",3.03,2.58,1,2.25,0,0,8485,5381,5/23/16 18:55
405,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"Train: strain, gain, pain. Seat: beat, heat, elite, greet, meat, neat.",2.03,2.03,1,2.01,0,0,10792,2914,5/23/16 18:55
342,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I work at a used car lot near my house. There's a 2009 Honda Accord that A customer has been eye balling for a few days, and they finally come in ready to make a purchase. They ask me if the car has any flaws. It does. The back right tire gradually loses pressure over a few weeks due to the chipped rim. They won't know this until weeks after they buy the car, so I tell them there is nothing wrong. It makes me feel bad, but I need the commission to feed my family. ",2.01,1,1,1,7,7,6188,4809,5/23/16 18:55
322,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,"Bill rhymes with chill, sill, will, kill, till, and dill.  Ground rhymes with mound, pound, wound, sound, bound, and found.  ",1,1,1,1,0,0,8048,4100,5/23/16 18:56
37,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"My roommate just got new furniture and is moving it all into their room and trying to get it arranged.  When I come in the door, they ask if I will help them with some of the lifting and arranging of the furniture.  I have had a long day and don't really feel like dealing with all that so I told them I had to go finish a project for work.  Instead I went to the bar to unwind.",4.94,2.97,1,3.06,5.04,5.22,9589,7279,5/23/16 18:56
359,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,"Spouse rhymes with house. Crying rhymes with trying, hiding.",1,4,1,1,0,0,8874,11123,5/23/16 18:56
382,1,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,,1.41,2.06,1,2.14,6.15,5.9,92714,1943,5/23/16 18:56
53,1,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I'm visiting New York.  It is midday and I've gone out for a walk about town.  The sidewalks are busy.  There are quite a few people about, but it isn't very crowded in front of me.  I spot money on the ground.  I pick it up and look ahead.  I see the back of a man wearing a navy trench coat .  If someone just dropped this money it had to be him.  He is hurrying on.  I let him go",5.01,4.44,1,3.02,5.21,5.12,4693,12458,5/23/16 18:56
199,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I'm taking a stroll through the city after work. On my way home, I see something flutter out of someone's pocket. I approach the item to find that it's a crisp 50 dollar bill. I look around and hesitantly snap it up off the ground and pocket it. This is a good amount of money and I need it, so I decide not to run up to the person I think dropped the bill and continue my walk home. ",4.47,4.94,1,3.79,5.56,5.24,4139,7106,5/23/16 18:56
375,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"work
fall
ball
bell
mail
mall
",2.71,3.07,1,2.47,2.26,5.19,47942,1800,5/23/16 18:57
82,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,I've been making this great dinner all day. I'm super excited about everyone coming over. I'm a little behind so don't think much about any concerns there may be with the dishes. Everyone arrives and I give them soup and everyone eats it down happily. I then put the rest of the food out and notice one person doesn't get any meat. Turns out they are vegetarian and I have  a mini heart attack as I realize the soup was made with chicken broth. I don't want to upset them so I decide to keep it quiet. They tell me they love the soup and ask how I made it. I say it is from vegi broth to save us al,3.04,3.09,1,2.66,6.15,5.36,4189,10642,5/23/16 18:57
455,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,,6,4.01,1,3.96,0,0,3042,37520,5/23/16 18:57
52,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,"night rhymes with flight, fight, sight, might.  Baby rhymes with maybe. You rhymes with shoe, due, blue. spouse rhymes with mouse, house, douse. Check rhymes with speck, deck, and wreck.",6.03,3.98,1,5.97,0,0,5023,5582,5/23/16 18:57
193,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,"I am sitting with my friends who I assume I know very well, if this person is sitting alone I am sure there is a very good reason for that. I do not want to be the one to find out why this person is shun by people, I want to keep to myself with people that I am comfortable eating with, without having to entertain someone I do not even know. Just leave them sitting alone a",6.05,4,1,5.96,5.84,5.81,2125,11515,5/23/16 18:57
526,1,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"""Matt my boy, you have just gotten me tickets to this movie. I was worried when I drove by the line trying to find parking, but then I spotted you. These people behind us don't want me to cut in line, but screw'em. I never do anything for myself. I'm gonna forget about others just this once.""",2.03,3.85,1,2.95,6.26,6.19,4343,7327,5/23/16 18:57
10,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,"Sick, lick, Rick, tick, wick, bit, lit, sit, fit, writ, sup, pup, bore, more, sore, door, core, lore, tore, boar, ",6,4,1,4,0,0,10611,2155,5/23/16 18:58
587,0,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,"middle: mcgriddle fiddle piddle
new: few too to two you dew zoo coo boo jew pew
spouse: house louse 
bad: lad cad gad mad rad tad had pad 
baby: maybe 
your: floor four for lore chore tour tore poor sore ",5.91,3.04,1,5.08,0,0,2815,2678,5/23/16 18:58
113,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,"Sit rhymbes with spit, shit, fit, lit, bit, writ, pit, and nit. Table rhymes with stable, label, and fable. Seats rhymes with eats, teets, and feats. Sitting rhymes with hitting. Tell rhymes with hell, spell, dell, fell, and well.",2.95,3.03,1,3.03,0,0,7161,12590,5/23/16 18:58
94,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,sit bit tit wit shit pit knit fit kit clit mitt hit brit grit lit ,1,1,1,2.17,0,0,10737,12305,5/23/16 18:58
562,1,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,"I'm rushing up a flight of stairs when I see a person struggling with a heavy suitcase. I want to help him but I'm carrying too much myself. Not to mention, I'd miss my flight and I can't afford to. I avert my eyes and continue pass them. I hope someone else would come along and help the person.",5,3.04,1,5.02,4,6.02,19921,12217,5/23/16 18:58
312,1,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,I'm walking down the street and spot a $50 bill. It might belong to that guy just ahead of me but I don't know for sure. If I ask he's certain to say it's his so I'll just keep it. Finders keepers as they say.,5.29,3.91,1,4,4.95,4.96,4890,8505,5/23/16 18:58
342,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"Train rhymes with 'crane', brain', 'pain', 'bane', 'plain', 'gain', 'chain', 'drain', 'rain', 'reign', 'main', 'mane', 'vain', 'vein', 'wane'",1,1,1,1,0,0,5165,2922,5/23/16 18:58
405,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,"I'm sitting with my friends, we're all telling jokes, talking about our plans to hang out and have fun in the future. We're eating our food, sharing food, having a great time. Some stranger approaches us and wants to butt in and make us physically and mentally uncomfortable. I tell him he ca",6,1.91,1,1.97,6.93,6.98,9114,3983,5/23/16 18:58
359,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,"Sitting rhymes with hitting, knitting, shitting. Table rhymes with fable. Bad rhymes with had, lad.",1.09,1,1,1,0,0,7764,2179,5/23/16 18:59
